Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Welon5656_media-app-for-android,com.jy.multi_media,BuildConfig,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: DEBUG
Welon5656_media-app-for-android,com.jy.multi_media,BuildConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multi_media,BuildConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEBUG
Welon5656_media-app-for-android,com.jy.multi_media,R,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activity_horizontal_margin; activity_vertical_margin; btn_image; btn_music; btn_video; file; folder; home; ic_launcher; action_settings; btn_image; btn_music; btn_video; control; exit; history; history_cell; history_list; image; imageView; image_cell; image_grid; music; music_cell; music_list; openfile; scanner; video; videoView; video_cell; video_list; activity_history; activity_image; activity_main; activity_music; activity_video; history_cell; image_brower; image_cell; music_cell; music_player; video_cell; video_player; main; video; action_settings; add_folder; app_name; dpage; exit; fileselecter; folder; history; image; image_brower; music; music_player; next; openfile; pause; previous; scanner; stop; upage; video; video_player; AppBaseTheme; AppTheme
Welon5656_media-app-for-android,com.jy.multi_media,R,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: activity_horizontal_margin; activity_vertical_margin; btn_image; btn_music; btn_video; file; folder; home; ic_launcher; action_settings; btn_image; btn_music; btn_video; control; exit; history; history_cell; history_list; image; imageView; image_cell; image_grid; music; music_cell; music_list; openfile; scanner; video; videoView; video_cell; video_list; activity_history; activity_image; activity_main; activity_music; activity_video; history_cell; image_brower; image_cell; music_cell; music_player; video_cell; video_player; main; video; action_settings; add_folder; app_name; dpage; exit; fileselecter; folder; history; image; image_brower; music; music_player; next; openfile; pause; previous; scanner; stop; upage; video; video_player; AppBaseTheme; AppTheme
Welon5656_media-app-for-android,com.jy.multi_media,R.attr,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Welon5656_media-app-for-android,com.jy.multi_media,R.attr,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multi_media,R.dimen,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: activity_horizontal_margin; activity_vertical_margin
Welon5656_media-app-for-android,com.jy.multi_media,R.dimen,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multi_media,R.dimen,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activity_horizontal_margin; activity_vertical_margin
Welon5656_media-app-for-android,com.jy.multi_media,R.drawable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multi_media,R.drawable,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: btn_image; btn_music; btn_video; file; folder; home; ic_launcher
Welon5656_media-app-for-android,com.jy.multi_media,R.drawable,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: btn_image; btn_music; btn_video; file; folder; home; ic_launcher
Welon5656_media-app-for-android,com.jy.multi_media,R.id,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multi_media,R.id,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: action_settings; btn_image; btn_music; btn_video; control; exit; history; history_cell; history_list; image; imageView; image_cell; image_grid; music; music_cell; music_list; openfile; scanner; video; videoView; video_cell; video_list
Welon5656_media-app-for-android,com.jy.multi_media,R.id,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: action_settings; btn_image; btn_music; btn_video; control; exit; history; history_cell; history_list; image; imageView; image_cell; image_grid; music; music_cell; music_list; openfile; scanner; video; videoView; video_cell; video_list
Welon5656_media-app-for-android,com.jy.multi_media,R.layout,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multi_media,R.layout,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activity_history; activity_image; activity_main; activity_music; activity_video; history_cell; image_brower; image_cell; music_cell; music_player; video_cell; video_player
Welon5656_media-app-for-android,com.jy.multi_media,R.layout,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: activity_history; activity_image; activity_main; activity_music; activity_video; history_cell; image_brower; image_cell; music_cell; music_player; video_cell; video_player
Welon5656_media-app-for-android,com.jy.multi_media,R.menu,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: main; video
Welon5656_media-app-for-android,com.jy.multi_media,R.menu,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multi_media,R.menu,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: main; video
Welon5656_media-app-for-android,com.jy.multi_media,R.string,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multi_media,R.string,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: action_settings; add_folder; app_name; dpage; exit; fileselecter; folder; history; image; image_brower; music; music_player; next; openfile; pause; previous; scanner; stop; upage; video; video_player
Welon5656_media-app-for-android,com.jy.multi_media,R.string,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: action_settings; add_folder; app_name; dpage; exit; fileselecter; folder; history; image; image_brower; music; music_player; next; openfile; pause; previous; scanner; stop; upage; video; video_player
Welon5656_media-app-for-android,com.jy.multi_media,R.style,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: AppBaseTheme; AppTheme
Welon5656_media-app-for-android,com.jy.multi_media,R.style,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multi_media,R.style,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AppBaseTheme; AppTheme
Welon5656_media-app-for-android,com.jy.image,ImageActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ImageList; grid
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multimedia,HistoryActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multimedia,ImageButtonClickListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.multimedia,MainActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: intent_image; intent_video; intent_music; btn_image; btn_video; btn_music; db_path
Welon5656_media-app-for-android,com.jy.music,MusicActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MusicList; list
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Welon5656_media-app-for-android,com.jy.video,VideoActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: VideoList; list
Welon5656_media-app-for-android,com.jy.video,VideoPlayer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
