Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Welon5656_media-app-for-android,com.jy.image,ImageActivity,GetFiles,11,6,3,30,0,com.jy.image.ImageActivity,com.jy.image.ImageActivity
Welon5656_media-app-for-android,com.jy.image,ImageActivity,onCreate,35,3,1,49,0,com.jy.image.ImageActivity,com.jy.image.ImageActivity
Welon5656_media-app-for-android,com.jy.image,ImageActivity,setViewValue,9,2,3,72,0,,
Welon5656_media-app-for-android,com.jy.image,ImageActivity,onItemClick,5,1,4,107,0,,
Welon5656_media-app-for-android,com.jy.image,ImageActivity,onActivityResult,6,2,3,118,0,,
Welon5656_media-app-for-android,com.jy.image,ImageActivity,onDestroy,4,1,0,141,0,,
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onCreate,12,1,1,32,0,com.jy.image.ImageBrowser,com.jy.image.ImageBrowser
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,InsertData,9,1,1,46,0,com.jy.image.ImageBrowser,com.jy.image.ImageBrowser
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,insertData,3,1,2,63,0,,
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onKeyDown,9,2,2,67,0,,
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onDestroy,6,2,0,79,0,,
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onFling,21,5,4,90,0,com.jy.image.ImageBrowser,com.jy.image.ImageBrowser
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onTouchEvent,3,1,1,117,0,,
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,up,8,2,1,124,0,com.jy.image.ImageBrowser,com.jy.image.ImageBrowser
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,down,8,2,1,133,0,com.jy.image.ImageBrowser,com.jy.image.ImageBrowser
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onDown,3,1,1,142,0,,
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onShowPress,2,1,1,148,0,,
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onSingleTapUp,3,1,1,154,0,,
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onScroll,3,1,4,160,0,,
Welon5656_media-app-for-android,com.jy.image,ImageBrowser,onLongPress,2,1,1,167,0,,
Welon5656_media-app-for-android,com.jy.multimedia,HistoryActivity,onCreate,15,1,1,20,0,com.jy.multimedia.HistoryActivity,com.jy.multimedia.HistoryActivity
Welon5656_media-app-for-android,com.jy.multimedia,HistoryActivity,inflateList,4,1,1,40,0,,
Welon5656_media-app-for-android,com.jy.multimedia,HistoryActivity,onDestroy,6,2,0,53,0,,
Welon5656_media-app-for-android,com.jy.multimedia,ImageButtonClickListener,ImageButtonClickListener,4,1,2,14,0,,
Welon5656_media-app-for-android,com.jy.multimedia,ImageButtonClickListener,onClick,3,1,1,19,0,,
Welon5656_media-app-for-android,com.jy.multimedia,MainActivity,init,12,1,0,24,0,,
Welon5656_media-app-for-android,com.jy.multimedia,MainActivity,getOverflowMenu,19,2,0,37,0,,
Welon5656_media-app-for-android,com.jy.multimedia,MainActivity,onCreate,6,1,1,61,0,com.jy.multimedia.MainActivity,com.jy.multimedia.MainActivity
Welon5656_media-app-for-android,com.jy.multimedia,MainActivity,onCreateOptionsMenu,4,1,1,69,0,,
Welon5656_media-app-for-android,com.jy.multimedia,MainActivity,onOptionsItemSelected,16,4,1,76,0,,
Welon5656_media-app-for-android,com.jy.music,MusicActivity,GetFiles,11,6,3,26,0,com.jy.music.MusicActivity,com.jy.music.MusicActivity
Welon5656_media-app-for-android,com.jy.music,MusicActivity,onCreate,23,2,1,45,0,com.jy.music.MusicActivity,com.jy.music.MusicActivity
Welon5656_media-app-for-android,com.jy.music,MusicActivity,onItemClick,5,1,4,72,0,,
Welon5656_media-app-for-android,com.jy.music,MusicActivity,onActivityResult,6,2,3,82,0,,
Welon5656_media-app-for-android,com.jy.music,MusicActivity,onDestroy,4,1,0,105,0,,
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,onCreate,12,1,1,31,0,com.jy.music.MusicPlayer,com.jy.music.MusicPlayer
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,play,12,1,1,45,0,,
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,InsertData,9,1,1,59,0,com.jy.music.MusicPlayer,com.jy.music.MusicPlayer
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,insertData,3,1,2,76,0,,
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,stop,5,1,1,80,0,,
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,previous,15,2,1,86,0,com.jy.music.MusicPlayer,com.jy.music.MusicPlayer
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,pause,11,2,1,102,0,,
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,next,15,2,1,114,0,com.jy.music.MusicPlayer,com.jy.music.MusicPlayer
Welon5656_media-app-for-android,com.jy.music,MusicPlayer,onKeyDown,10,2,2,130,0,,
Welon5656_media-app-for-android,com.jy.video,VideoActivity,GetFiles,11,6,3,26,0,com.jy.video.VideoActivity,com.jy.video.VideoActivity
Welon5656_media-app-for-android,com.jy.video,VideoActivity,onCreate,23,2,1,45,0,com.jy.video.VideoActivity,com.jy.video.VideoActivity
Welon5656_media-app-for-android,com.jy.video,VideoActivity,onItemClick,5,1,4,71,0,,
Welon5656_media-app-for-android,com.jy.video,VideoActivity,onActivityResult,6,2,3,81,0,,
Welon5656_media-app-for-android,com.jy.video,VideoActivity,onDestroy,4,1,0,104,0,,
Welon5656_media-app-for-android,com.jy.video,VideoPlayer,onCreate,19,2,1,30,0,com.jy.video.VideoPlayer,com.jy.video.VideoPlayer
Welon5656_media-app-for-android,com.jy.video,VideoPlayer,InsertData,9,1,1,55,0,com.jy.video.VideoPlayer,com.jy.video.VideoPlayer
Welon5656_media-app-for-android,com.jy.video,VideoPlayer,insertData,3,1,2,72,0,,
Welon5656_media-app-for-android,com.jy.video,VideoPlayer,onKeyDown,9,2,2,76,0,,
Welon5656_media-app-for-android,com.jy.video,VideoPlayer,onTouchEvent,16,2,1,88,0,,
