Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
abtin_bigdata,com.novadox.bigdata.common.api,StorePersonFunctionApi,storePersonArray,0,1,1,11,0,,
abtin_bigdata,com.novadox.bigdata.common.api,StorePersonFunctionApi,storeSinglePerson,0,1,1,12,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,Person,2,1,0,15,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,getKey,3,1,0,28,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,getFirstName,3,1,0,32,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,setFirstName,3,1,1,36,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,getLastName,3,1,0,40,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,setLastName,3,1,1,44,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,getAddress,3,1,0,48,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,setAddress,3,1,1,52,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,getDateOfBirth,3,1,0,56,0,,
abtin_bigdata,com.novadox.bigdata.common.model,Person,setDateOfBirth,3,1,1,60,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.function,PersonFunction,storePersonArray,17,3,2,26,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.function,PersonFunction,storeSinglePerson,13,2,2,51,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.service,RabbitReader,container,15,1,0,40,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.service,RabbitReader,onMessage,4,1,2,47,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.service,RabbitReader,memberJoined,3,1,1,62,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.service,RabbitReader,memberLeft,4,1,1,67,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.service,RabbitReader,memberCrashed,4,1,1,73,0,,
abtin_bigdata,com.novadox.bigdata.rabbit.sender,AppConfig,connectionFactory,7,1,0,33,0,,
abtin_bigdata,com.novadox.bigdata.rabbit.sender,AppConfig,queue,3,1,0,41,0,,
abtin_bigdata,com.novadox.bigdata.rabbit.sender,AppConfig,exchange,3,1,0,46,0,,
abtin_bigdata,com.novadox.bigdata.rabbit.sender,AppConfig,binding,3,1,2,51,0,,
abtin_bigdata,com.novadox.bigdata.rabbit.sender,SenderApp,fakePerson,8,1,0,33,0,,
abtin_bigdata,com.novadox.bigdata.rabbit.sender,SenderApp,run,14,3,1,44,0,com.novadox.bigdata.rabbit.sender.SenderApp,com.novadox.bigdata.rabbit.sender.SenderApp
abtin_bigdata,com.novadox.bigdata.rabbit.sender,SenderApp,main,3,1,1,62,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.rabbit.client,RabbitGemfireClientRunner,RabbitGemfireClientRunner,8,1,0,27,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.rabbit.client,RabbitGemfireClientRunner,spawnRabbitReaders,10,2,1,38,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.rabbit.client,RabbitGemfireClientRunner,shutdownRabbitReaders,7,2,0,49,0,,
abtin_bigdata,com.novadox.bigdata.gemfire.rabbit.client,RabbitGemfireClientRunner,main,12,2,1,57,0,com.novadox.bigdata.gemfire.rabbit.client.RabbitGemfireClientRunner,com.novadox.bigdata.gemfire.rabbit.client.RabbitGemfireClientRunner
abtin_bigdata,com.novadox.bigdata.rabbit.receiver,ReceiverApp,container,14,1,0,29,0,,
abtin_bigdata,com.novadox.bigdata.rabbit.receiver,ReceiverApp,onMessage,4,1,2,33,0,,
abtin_bigdata,com.novadox.bigdata.rabbit.receiver,ReceiverApp,main,3,1,1,46,0,,
