Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
alexyem0222_amazon,Try2,App,main,3,1,1,9,0,,
alexyem0222_amazon,Try2,EmailPresentInSystem,setup,4,1,0,19,0,,
alexyem0222_amazon,Try2,EmailPresentInSystem,userexists,15,1,0,24,1,,
alexyem0222_amazon,Try2,EmailPresentInSystem,tearDown,3,1,0,42,0,,
alexyem0222_amazon,Try2,Packages,setup,3,1,0,19,0,,
alexyem0222_amazon,Try2,Packages,clickonpackages,4,1,0,24,1,,
alexyem0222_amazon,Try2,Packages,tearDown,3,1,0,31,0,,
alexyem0222_amazon,Try2,PersonalityAssertLinks,setup,3,1,0,33,0,,
alexyem0222_amazon,Try2,PersonalityAssertLinks,jumptoanotherpage,6,2,0,41,1,,
alexyem0222_amazon,Try2,PersonalityAssertLinks,tearDown,3,1,0,48,0,,
alexyem0222_amazon,Try2,PersonalityPerks1,setup,4,1,0,21,0,,
alexyem0222_amazon,Try2,PersonalityPerks1,pillowtypebuttons,10,3,0,27,1,,
alexyem0222_amazon,Try2,PersonalityPerks1,specialrequesttext,7,2,0,43,1,,
alexyem0222_amazon,Try2,PersonalityPerks1,tearDown,3,1,0,55,0,,
alexyem0222_amazon,Try2,RegisteredUserLogin,setup,3,1,0,23,0,,
alexyem0222_amazon,Try2,RegisteredUserLogin,login,10,1,0,29,1,,
alexyem0222_amazon,Try2,RegisteredUserLogin,tearDown,3,1,0,43,0,,
alexyem0222_amazon,Try2,WrongPassword,setup,3,1,0,23,0,,
alexyem0222_amazon,Try2,WrongPassword,login,9,1,0,29,1,,
alexyem0222_amazon,Try2,WrongPassword,tearDown,3,1,0,45,0,,
alexyem0222_amazon,amazon,AmazonHomePage,AmazonHomePage,3,1,1,20,0,,
alexyem0222_amazon,amazon,AmazonHomePage,searchFor,7,1,1,24,0,,
alexyem0222_amazon,amazon,AmazonHomePage,navigateTo,4,1,1,32,0,,
alexyem0222_amazon,amazon,AmazonMobileTest,setUp,6,1,0,32,0,,
alexyem0222_amazon,amazon,AmazonMobileTest,basic,5,1,0,43,1,,
alexyem0222_amazon,amazon,AmazonMobileTest,printSessionId,5,1,0,50,0,,
alexyem0222_amazon,amazon,AmazonSearchResultsPage,AmazonSearchResultsPage,3,1,1,15,0,,
alexyem0222_amazon,amazon,AmazonSearchResultsPage,getTopResultTitle,4,1,0,19,0,,
alexyem0222_amazon,amazon,AmazonSearchTestParallel,AmazonSearchTestParallel,6,1,3,29,0,,
alexyem0222_amazon,amazon,AmazonSearchTestParallel,browsersStrings,6,1,0,36,0,,
alexyem0222_amazon,amazon,AmazonSearchTestParallel,setUp,7,1,0,47,0,,
alexyem0222_amazon,amazon,AmazonSearchTestParallel,search_yahoo,5,1,0,69,1,,
alexyem0222_amazon,amazon,AmazonSearchTestParallel,printSessionId,6,1,0,76,0,,
alexyem0222_amazon,amazon,BetterAmazonSearchTest,setupSelenium,7,1,0,26,0,,
alexyem0222_amazon,amazon,BetterAmazonSearchTest,search_amazon,10,1,0,38,1,,
alexyem0222_amazon,amazon,BetterAmazonSearchTest,search_yahoo,5,1,0,49,1,,
alexyem0222_amazon,amazon,BetterAmazonSearchTest,printSessionId,6,1,0,56,0,,
alexyem0222_amazon,amazon,PersonalityMobileTry,setUp,8,1,0,24,0,,
alexyem0222_amazon,amazon,PersonalityMobileTry,runTest,7,1,0,37,1,,
alexyem0222_amazon,amazon,PersonalityMobileTry,printSessionId,6,1,0,46,0,,
alexyem0222_amazon,googletry,GoogleTry,setUp,4,1,0,15,0,,
alexyem0222_amazon,googletry,GoogleTry,searchGoogle,4,1,0,20,1,,
