Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
bbemis017_StudentManagement,controller,AddRecordClicked,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bbemis017_StudentManagement,controller,Controller,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: dataBaseManager; login; dataBaseView; tableName
bbemis017_StudentManagement,controller,Controller,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DataBaseView; Controller; Manager; LoginView
bbemis017_StudentManagement,controller,DeleteRecordClicked,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bbemis017_StudentManagement,controller,LoginClicked,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bbemis017_StudentManagement,controller,TableSwitchClicked,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bbemis017_StudentManagement,controller,UpdateRecordClicked,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bbemis017_StudentManagement,database,Manager,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SQL_SERVER_DRIVER; URL; STUDENT; CLASS; ENROLLED_CLASSES; INNER_JOIN_QUERY; connection; control
bbemis017_StudentManagement,database,Manager,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DataBaseView; Controller; Manager; LoginView
bbemis017_StudentManagement,view,DataBaseView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: START_WIDTH; START_HEIGHT; control; table; panel; tableSelection; editPanel; scrollPane; studentButton; classButton; enrolledButton; addButton; updateButton; deleteButton
bbemis017_StudentManagement,view,DataBaseView,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DataBaseView; Controller; Manager; LoginView
