Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
bbemis017_StudentManagement,controller,AddRecordClicked,AddRecordClicked,3,1,1,14,0,,
bbemis017_StudentManagement,controller,AddRecordClicked,actionPerformed,18,4,1,18,0,,
bbemis017_StudentManagement,controller,Controller,Controller,4,1,0,21,0,,
bbemis017_StudentManagement,controller,Controller,updateTable,7,2,1,29,0,,
bbemis017_StudentManagement,controller,Controller,SuccessfulLogin,7,1,0,42,0,controller.Controller,controller.Controller
bbemis017_StudentManagement,controller,Controller,getTableName,3,1,0,53,0,,
bbemis017_StudentManagement,controller,Controller,invalidData,4,1,0,59,0,,
bbemis017_StudentManagement,controller,Controller,exit,3,1,0,67,0,,
bbemis017_StudentManagement,controller,Controller,main,3,1,1,75,0,,
bbemis017_StudentManagement,controller,DeleteRecordClicked,DeleteRecordClicked,3,1,1,14,0,,
bbemis017_StudentManagement,controller,DeleteRecordClicked,actionPerformed,18,4,1,18,0,,
bbemis017_StudentManagement,controller,LoginClicked,LoginClicked,3,1,1,9,0,,
bbemis017_StudentManagement,controller,LoginClicked,actionPerformed,8,2,1,13,0,,
bbemis017_StudentManagement,controller,TableSwitchClicked,TableSwitchClicked,4,1,2,10,0,,
bbemis017_StudentManagement,controller,TableSwitchClicked,actionPerformed,3,1,1,16,0,,
bbemis017_StudentManagement,controller,UpdateRecordClicked,UpdateRecordClicked,3,1,1,15,0,,
bbemis017_StudentManagement,controller,UpdateRecordClicked,actionPerformed,20,3,1,20,0,,
bbemis017_StudentManagement,database,Manager,Manager,3,1,1,28,0,,
bbemis017_StudentManagement,database,Manager,connect,14,1,2,31,0,,
bbemis017_StudentManagement,database,Manager,getResult,12,1,1,52,0,,
bbemis017_StudentManagement,database,Manager,Update,10,1,1,73,0,,
bbemis017_StudentManagement,database,Manager,addRecord,5,1,3,88,0,database.Manager,database.Manager
bbemis017_StudentManagement,database,Manager,deleteRecord,5,1,3,100,0,database.Manager,database.Manager
bbemis017_StudentManagement,database,Manager,deleteCompositeRecord,5,1,5,112,0,database.Manager,database.Manager
bbemis017_StudentManagement,database,Manager,updateRecord,6,1,3,126,0,database.Manager,database.Manager
bbemis017_StudentManagement,database,Manager,findNextIdInt,13,2,1,140,0,database.Manager,database.Manager
bbemis017_StudentManagement,database,Manager,getTable,27,5,1,161,0,database.Manager,database.Manager
bbemis017_StudentManagement,database,Manager,addSingleQuotes,3,1,1,216,0,,
bbemis017_StudentManagement,database,Manager,closeConnection,8,1,0,224,0,,
bbemis017_StudentManagement,view,DataBaseView,DataBaseView,18,1,1,37,0,view.DataBaseView,view.DataBaseView
bbemis017_StudentManagement,view,DataBaseView,windowClosing,4,1,1,47,0,,
bbemis017_StudentManagement,view,DataBaseView,createPanel,36,1,0,61,0,view.DataBaseView,view.DataBaseView
bbemis017_StudentManagement,view,DataBaseView,updateTableView,5,1,2,115,0,,
bbemis017_StudentManagement,view,DataBaseView,createTable,11,1,0,126,0,,
bbemis017_StudentManagement,view,LoginView,LoginView,11,1,1,26,0,view.LoginView,view.LoginView
bbemis017_StudentManagement,view,LoginView,createPanel,24,1,0,45,0,,
bbemis017_StudentManagement,view,LoginView,loginFailed,3,1,0,82,0,,
bbemis017_StudentManagement,view,LoginView,getUserName,3,1,0,89,0,,
bbemis017_StudentManagement,view,LoginView,getPassword,3,1,0,94,0,,
