Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
brotherBear_aor-java-neo,aor,Main,main,19,1,1,23,0,aor.Main,aor.Main
brotherBear_aor-java-neo,aor,Main,addSeas,26,3,1,56,0,,
brotherBear_aor-java-neo,aor,Main,addAreas,26,3,1,80,0,,
brotherBear_aor-java-neo,aor,Main,dropData,6,1,1,105,0,,
brotherBear_aor-java-neo,aor,Main,addRelations,26,3,1,112,0,,
brotherBear_aor-java-neo,aor,Main,addSatellites,26,3,1,137,0,,
brotherBear_aor-java-neo,aor,Main,checkProvinces,9,2,1,162,0,,
brotherBear_aor-java-neo,aor,Main,addProvinces,26,3,1,173,0,,
brotherBear_aor-java-neo,aor,Main,checkResources,9,2,1,198,0,,
brotherBear_aor-java-neo,aor,Main,addResources,27,2,1,210,0,,
brotherBear_aor-java-neo,aor,Parser,createProvinceInsert,15,3,1,7,0,,
brotherBear_aor-java-neo,aor,Parser,createResourceInsert,4,1,1,28,0,,
brotherBear_aor-java-neo,aor,Parser,createConnection,15,3,1,33,0,,
brotherBear_aor-java-neo,aor,Parser,createSatteliteConnection,21,4,1,49,0,,
brotherBear_aor-java-neo,aor,Parser,createArea,21,4,1,70,0,,
brotherBear_aor-java-neo,aor,Parser,createSea,21,4,1,91,0,,
brotherBear_aor-java-neo,aor,ProvincesTest,testDeclareNorthAmerica,4,1,0,9,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testDeclareBordeaux,4,1,0,18,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testDeclareParis,4,1,0,25,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testCreateArea,4,1,0,32,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testCreateSea,4,1,0,40,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testDeclareTimberResource,4,1,0,48,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testCreateSattelite,4,1,0,54,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testCreateSattelite3,4,1,0,62,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testConnectProvincesByLand,4,1,0,70,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testConnectProvincesByCoast,4,1,0,77,1,,
brotherBear_aor-java-neo,aor,ProvincesTest,testConnectProvincesByLandAndCoast,4,1,0,84,1,,
