Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onEnable,Complex Method,Cyclomatic complexity of the method is 8,67
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onEnable,Empty catch clause,The method has an empty catch block.,67
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onEnable,Long Statement,The length of the statement "stationeryMeta.setLore(Arrays.asList("§r§7Right-click a mailbox to send after signing"`"§r§7Use the name of the recipient as the title"));" is 138.,67
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onEnable,Magic Number,The method contains a magic number: 1024,67
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onCommand,Complex Conditional,The conditional expression args.length == 0 || (args.length < 2 && args[0].equals("1")) is complex.,151
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onCommand,Complex Conditional,The conditional expression itemHand.getType() == Material.WRITTEN_BOOK && itemHand.hasItemMeta() && itemHand.getItemMeta().hasDisplayName() && (itemHand.getItemMeta().getDisplayName().contains("Letter") || itemHand.getItemMeta().getDisplayName().contains("Package")) is complex.,151
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onCommand,Complex Conditional,The conditional expression itemHand.getType() == Material.WRITTEN_BOOK && itemHand.hasItemMeta() && itemHand.getItemMeta().hasDisplayName() && (itemHand.getItemMeta().getDisplayName().contains("Letter") || itemHand.getItemMeta().getDisplayName().contains("Package")) is complex.,151
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onCommand,Complex Method,Cyclomatic complexity of the method is 31,151
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onCommand,Long Method,The method has 128 lines of code.,151
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onCommand,Long Statement,The length of the statement "sender.sendMessage(new String[]{ChatColor.GOLD + "" + ChatColor.BOLD+ "RealMail - Crafting Recipes"`ChatColor.GOLD + "Mailbox:"`ChatColor.DARK_GRAY + " --" + ChatColor.WHITE+ "w w"+ ChatColor.WHITE+ " = wool (1x)"`ChatColor.GRAY + " i i i i" + ChatColor.WHITE+ " = iron ingot (5x)"`ChatColor.GRAY + " i " + ChatColor.DARK_RED+ "c"+ ChatColor.GRAY+ "i "+ ChatColor.DARK_RED+ "c"+ ChatColor.WHITE+ " = chest (1x)"`ChatColor.GOLD + "Stationery:"`ChatColor.WHITE + " 1x paper and 1x feather"`ChatColor.WHITE + "Use /mail 2 for usage"});" is 532.,151
