Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onEnable,68,8,0,67,0,,
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onDisable,3,1,0,146,0,,
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,onCommand,128,31,4,151,0,com.challengercity.plugins.realmail.RealMail,com.challengercity.plugins.realmail.RealMail
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,giveMailbox,3,1,1,300,0,,
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,giveStationery,5,1,1,304,0,,
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,openMailbox,33,7,2,310,0,,
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,sendMail,53,11,4,343,0,com.challengercity.plugins.realmail.RealMail,com.challengercity.plugins.realmail.RealMail
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,sendMail,51,10,4,396,0,com.challengercity.plugins.realmail.RealMail,com.challengercity.plugins.realmail.RealMail
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,udpateMailboxFlags,3,1,1,448,0,,
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,sendBook,3,1,4,453,0,,
bsergent_RealMail,com.challengercity.plugins.realmail,RealMail,setSignStatus,3,1,3,528,0,,
bsergent_RealMail,org.mcstats,MetricsLite,MetricsLite,17,3,1,110,0,org.mcstats.MetricsLite,org.mcstats.MetricsLite
bsergent_RealMail,org.mcstats,MetricsLite,start,32,5,0,137,0,org.mcstats.MetricsLite,org.mcstats.MetricsLite
bsergent_RealMail,org.mcstats,MetricsLite,run,17,3,0,161,0,org.mcstats.MetricsLite,org.mcstats.MetricsLite
bsergent_RealMail,org.mcstats,MetricsLite,isOptOut,20,3,0,192,0,org.mcstats.MetricsLite,org.mcstats.MetricsLite
bsergent_RealMail,org.mcstats,MetricsLite,enable,11,3,0,217,0,org.mcstats.MetricsLite,org.mcstats.MetricsLite
bsergent_RealMail,org.mcstats,MetricsLite,disable,12,3,0,238,0,org.mcstats.MetricsLite,org.mcstats.MetricsLite
bsergent_RealMail,org.mcstats,MetricsLite,getConfigFile,4,1,0,260,0,,
bsergent_RealMail,org.mcstats,MetricsLite,postPlugin,68,8,1,277,0,org.mcstats.MetricsLite,org.mcstats.MetricsLite
bsergent_RealMail,org.mcstats,MetricsLite,gzip,19,2,1,384,0,,
bsergent_RealMail,org.mcstats,MetricsLite,isMineshafterPresent,9,1,0,409,0,,
bsergent_RealMail,org.mcstats,MetricsLite,appendJSONPair,23,4,3,423,0,org.mcstats.MetricsLite,org.mcstats.MetricsLite
bsergent_RealMail,org.mcstats,MetricsLite,escapeJSON,0,9,1,457,0,,
bsergent_RealMail,org.mcstats,MetricsLite,urlEncode,3,1,1,503,0,,
