Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
buremba_netty-rest,org.rakam.server.http,HaProxyBackendServerHandler,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HttpServer; HttpServerBuilder; HttpServerHandler; HaProxyBackendServerHandler
buremba_netty-rest,org.rakam.server.http,HttpServer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; DEFAULT_MAPPER; PARAMETER_LOOKUP; routeMatcher; swagger; mapper; bossGroup; workerGroup; preProcessors; proxyProtocol; postProcessors; uncaughtExceptionHandler; customParameters; swaggerOperationConsumer; useEpoll; processingRequests; maximumBodySize; debugMode; channel; swaggerBeanMappings; activeChannels; PRIMITIVE_MAPPER; errors; meta; id; links; status; code; title; detail; meta
buremba_netty-rest,org.rakam.server.http,HttpServer,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods
buremba_netty-rest,org.rakam.server.http,HttpServer.ErrorMessage,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: errors; meta
buremba_netty-rest,org.rakam.server.http,HttpServer.ErrorMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,HttpServer.ErrorMessage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: errors; meta
buremba_netty-rest,org.rakam.server.http,HttpServer.JsonAPIError,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,HttpServer.JsonAPIError,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id; links; status; code; title; detail; meta
buremba_netty-rest,org.rakam.server.http,HttpServer.JsonAPIError,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; links; status; code; title; detail; meta
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder.ExceptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder.IRequestParameterFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,HttpServerHandler.ReferenceCountedByteBufInputStream,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: buffer
buremba_netty-rest,org.rakam.server.http,HttpServerHandler.ReferenceCountedByteBufInputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,HttpServerHandler.ChainByteArrayInputStream,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: arrays; position; cursor; cursorPos
buremba_netty-rest,org.rakam.server.http,HttpServerHandler.ChainByteArrayInputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,HttpService,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
buremba_netty-rest,org.rakam.server.http,HttpServiceProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,IRequestParameter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; required; mapper; name; required; name; required; mapper; name; type; required; mapper; type; mapper
buremba_netty-rest,org.rakam.server.http,IRequestParameter.HeaderParameter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; required; mapper
buremba_netty-rest,org.rakam.server.http,IRequestParameter.HeaderParameter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,IRequestParameter.HeaderParameter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; required; mapper
buremba_netty-rest,org.rakam.server.http,IRequestParameter.CookieParameter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; required
buremba_netty-rest,org.rakam.server.http,IRequestParameter.CookieParameter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,IRequestParameter.CookieParameter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; required
buremba_netty-rest,org.rakam.server.http,IRequestParameter.QueryParameter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; required; mapper
buremba_netty-rest,org.rakam.server.http,IRequestParameter.QueryParameter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,IRequestParameter.QueryParameter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; required; mapper
buremba_netty-rest,org.rakam.server.http,IRequestParameter.BodyParameter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; type; required; mapper
buremba_netty-rest,org.rakam.server.http,IRequestParameter.BodyParameter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,IRequestParameter.BodyParameter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; type; required; mapper
buremba_netty-rest,org.rakam.server.http,IRequestParameter.FullBodyParameter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: type; mapper
buremba_netty-rest,org.rakam.server.http,IRequestParameter.FullBodyParameter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,IRequestParameter.FullBodyParameter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type; mapper
buremba_netty-rest,org.rakam.server.http,JsonBeanRequestHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,JsonParametrizedRequestHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,ParameterProcessor,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: applyAnnotations
buremba_netty-rest,org.rakam.server.http,ParameterProcessor.ParamWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,ParameterProcessor.AnnotationsHelper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: DEFAULT_API_PARAM; context; apiParam; defaultValue
buremba_netty-rest,org.rakam.server.http,ParameterProcessor.AnnotationsHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,ParameterProcessor.ApiParamWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: apiParam
buremba_netty-rest,org.rakam.server.http,ParameterProcessor.ApiParamWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,ParameterProcessor.ApiImplicitParamWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: apiParam
buremba_netty-rest,org.rakam.server.http,ParameterProcessor.ApiImplicitParamWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,PostProcessorEntry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,PreprocessorEntry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,RakamHttpRequest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
buremba_netty-rest,org.rakam.server.http,RakamHttpRequest.StreamResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ctx; lastBufferData
buremba_netty-rest,org.rakam.server.http,RakamHttpRequest.StreamResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,RakamHttpRequest.InvalidInputStream,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
buremba_netty-rest,org.rakam.server.http,RakamHttpRequest.InvalidInputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,RakamWebSocketFrame,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,RouteMatcher.PatternBinding,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: method; pattern
buremba_netty-rest,org.rakam.server.http,RouteMatcher.PatternBinding,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,RouteMatcher.MicroRouteMatcher,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: routeMatcher; path
buremba_netty-rest,org.rakam.server.http,RouteMatcher.MicroRouteMatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,SHttpServer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,SHttpServer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: httpServer; count; sum
buremba_netty-rest,org.rakam.server.http,SHttpServer.Holder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: count; sum
buremba_netty-rest,org.rakam.server.http,SHttpServer.Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,SHttpServer.Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: count; sum
buremba_netty-rest,org.rakam.server.http,SwaggerReader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,org.rakam.server.http,SwaggerReader,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 215
buremba_netty-rest,org.rakam.server.http,WebSocketService.WebSocketRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: request
buremba_netty-rest,org.rakam.server.http,WebSocketService.WebSocketRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,(default package),HttpServerTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,(default package),HttpServerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id; test
buremba_netty-rest,(default package),HttpServerTest.ParameterHttpService,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
buremba_netty-rest,(default package),HttpServerTest.ParameterHttpService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,(default package),HttpServerTest.SimpleWebhookService,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
buremba_netty-rest,(default package),HttpServerTest.SimpleWebhookService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,(default package),HttpServerTest.SimpleHttpService,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: test
buremba_netty-rest,(default package),HttpServerTest.SimpleHttpService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,(default package),HttpServerTest.SimpleHttpService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: test
buremba_netty-rest,(default package),HttpServerTest.DemoBean,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: test
buremba_netty-rest,(default package),HttpServerTest.DemoBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
buremba_netty-rest,(default package),HttpServerTest.DemoBean,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: test
buremba_netty-rest,(default package),MethodHandleTest.Foo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
buremba_netty-rest,(default package),MethodHandleTest.Foo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
