Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
buremba_netty-rest,org.rakam.server.http,HttpRequestException,HttpRequestException,Magic Number,The method contains a magic number: 400,15
buremba_netty-rest,org.rakam.server.http,HttpServer,HttpServer,Long Parameter List,The method has 15 parameters. ,141
buremba_netty-rest,org.rakam.server.http,HttpServer,registerWebSocketPaths,Long Statement,The length of the statement "throw new IllegalStateException(format("Classes that implement WebSocketService must have %s annotation."`Path.class.getCanonicalName()));" is 138.,208
buremba_netty-rest,org.rakam.server.http,HttpServer,registerEndPoints,Complex Method,Cyclomatic complexity of the method is 12,220
buremba_netty-rest,org.rakam.server.http,HttpServer,registerEndPoints,Long Statement,The length of the statement "throw new IllegalStateException(format("HttpService class %s must have javax.ws.rs.Path annotation"`service.getClass()));" is 121.,220
buremba_netty-rest,org.rakam.server.http,HttpServer,registerEndPoints,Long Statement,The length of the statement "throw new IllegalStateException(format("Classes that implement HttpService must have %s annotation."`Path.class.getCanonicalName()));" is 133.,220
buremba_netty-rest,org.rakam.server.http,HttpServer,registerEndPoints,Long Statement,The length of the statement "Iterator<HttpMethod> methodExists=Arrays.stream(method.getAnnotations()).filter(ann -> ann.annotationType().isAnnotationPresent(javax.ws.rs.HttpMethod.class)).map(ann -> HttpMethod.valueOf(ann.annotationType().getAnnotation(javax.ws.rs.HttpMethod.class).value())).iterator();" is 275.,220
buremba_netty-rest,org.rakam.server.http,HttpServer,registerEndPoints,Long Statement,The length of the statement "swagger.getDefinitions().forEach((k`v) -> Optional.ofNullable(v).map(a -> a.getProperties()).ifPresent(a -> a.values().forEach(x -> x.setReadOnly(null))));" is 155.,220
buremba_netty-rest,org.rakam.server.http,HttpServer,getJsonRequestHandler,Long Statement,The length of the statement "return new JsonParametrizedRequestHandler(this`mapper`bodyParams`methodHandle`service`preprocessorForJsonRequest`isAsync`!method.getReturnType().equals(void.class));" is 165.,287
buremba_netty-rest,org.rakam.server.http,HttpServer,isRawRequestMethod,Long Statement,The length of the statement "return method.getReturnType().equals(void.class) && method.getParameterCount() == 1 && method.getParameterTypes()[0].equals(RakamHttpRequest.class);" is 148.,366
