Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
buremba_netty-rest,org.rakam.server.http,HaProxyBackendServerHandler,HaProxyBackendServerHandler,3,1,3,14,0,,
buremba_netty-rest,org.rakam.server.http,HaProxyBackendServerHandler,createRequest,8,2,1,18,0,,
buremba_netty-rest,org.rakam.server.http,HaProxyBackendServerHandler,channelRead,8,2,2,28,0,,
buremba_netty-rest,org.rakam.server.http,HttpRequestException,HttpRequestException,9,2,3,15,0,,
buremba_netty-rest,org.rakam.server.http,HttpRequestException,HttpRequestException,3,1,2,26,0,,
buremba_netty-rest,org.rakam.server.http,HttpRequestException,getMeta,3,1,0,30,0,,
buremba_netty-rest,org.rakam.server.http,HttpRequestException,getErrors,3,1,0,34,0,,
buremba_netty-rest,org.rakam.server.http,HttpRequestException,getStatusCode,3,1,0,38,0,,
buremba_netty-rest,org.rakam.server.http,HttpRequestException,fillInStackTrace,3,1,0,43,0,,
buremba_netty-rest,org.rakam.server.http,HttpRequestHandler,handle,0,1,1,4,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,HttpServer,21,1,15,141,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,setNotFoundHandler,3,1,1,178,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,swaggerApiHandle,11,1,1,183,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,markProcessing,3,1,1,198,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,unmarkProcessing,3,1,1,203,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,registerWebSocketPaths,10,2,1,208,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,registerEndPoints,51,12,2,220,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,getJsonRequestHandler,45,7,2,287,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,getPreprocessorRequest,3,1,1,345,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,getPostPreprocessorsRequest,3,1,1,351,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,handleRequest,8,2,4,356,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,isRawRequestMethod,3,1,1,366,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,generateRawRequestHandler,32,3,2,373,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,createGetRequestHandler,82,7,2,409,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,getHandler,82,16,3,513,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,handleJsonRequest,16,1,4,608,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,handleJsonRequest,16,1,4,627,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,getErrorMessage,11,2,1,645,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,returnJsonResponse,23,3,4,659,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,handleAsyncJsonRequest,21,4,3,686,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,bind,3,1,2,709,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,bindAwait,4,1,2,715,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,bindInternal,30,2,2,722,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,initChannel,13,2,1,744,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,stop,7,2,0,767,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,applyPreprocessors,5,2,2,776,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,returnError,11,1,3,783,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,returnError,11,1,2,796,0,,
buremba_netty-rest,org.rakam.server.http,HttpServer,requestError,12,2,2,859,0,org.rakam.server.http.HttpServer,org.rakam.server.http.HttpServer
buremba_netty-rest,org.rakam.server.http,HttpServer,generate,8,2,1,873,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,setHttpServices,4,1,1,40,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,addJsonPreprocessor,4,1,2,46,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,addPostProcessor,4,1,1,59,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,setWebsocketServices,4,1,1,65,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,setSwagger,4,1,1,71,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,setEventLoopGroup,4,1,1,77,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,setMapper,4,1,1,83,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,setSwaggerOperationProcessor,4,1,1,89,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,setProxyProtocol,4,1,1,95,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,setOverridenMappings,4,1,1,101,0,,
buremba_netty-rest,org.rakam.server.http,HttpServerBuilder,setUseEpollIfPossible,4,1,1,107,0,,
