Project Name,Package Name,Architecture Smell,Cause of the Smell
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): dungeonDigger.entities; dungeonDigger.gameFlow
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DungeonGenerator; GameSquare; Hallway; Room; DungeonGenerator; GameSquare; Hallway; Room]; [Toolbox]. LCC (Lack of Component Cohesion) = 0.22
butlersrepos_dungeon-digger,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.44. All the dependencies among components: from: dungeonDigger.contentGeneration to: dungeonDigger.entities; from: dungeonDigger.contentGeneration to: dungeonDigger.enums; from: dungeonDigger.contentGeneration to: dungeonDigger.gameFlow; from: dungeonDigger.contentGeneration to: dungeonDigger.Tools; from: dungeonDigger.entities to: dungeonDigger.gameFlow; from: dungeonDigger.entities to: dungeonDigger.enums; from: dungeonDigger.entities to: dungeonDigger.Tools; from: dungeonDigger.entities to: dungeonDigger.collisions; from: dungeonDigger.entities to: dungeonDigger.contentGeneration; from: dungeonDigger.entities to: dungeonDigger.entities.templates; from: dungeonDigger.gameFlow to: dungeonDigger.entities; from: dungeonDigger.gameFlow to: dungeonDigger.network; from: dungeonDigger.gameFlow to: dungeonDigger.contentGeneration; from: dungeonDigger.gameFlow to: dungeonDigger.Tools; from: dungeonDigger.gameFlow to: dungeonDigger.collisions; from: dungeonDigger.network to: dungeonDigger.contentGeneration; from: dungeonDigger.network to: dungeonDigger.entities; from: dungeonDigger.network to: dungeonDigger.gameFlow; from: dungeonDigger.network to: dungeonDigger.Tools; from: dungeonDigger.collisions to: dungeonDigger.entities; from: dungeonDigger.collisions to: dungeonDigger.Tools; from: dungeonDigger.collisions to: dungeonDigger.contentGeneration; from: dungeonDigger.entities.abilities to: dungeonDigger.entities; from: dungeonDigger.entities.templates to: dungeonDigger.entities; from: dungeonDigger.entities.templates to: dungeonDigger.Tools; from: dungeonDigger.Tools to: dungeonDigger.entities; from: dungeonDigger.Tools to: dungeonDigger.network; from: dungeonDigger.Tools to: dungeonDigger.collisions; from: dungeonDigger.Tools to: dungeonDigger.contentGeneration.
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dungeonDigger.contentGeneration; dungeonDigger.gameFlow; dungeonDigger.contentGeneration
butlersrepos_dungeon-digger,dungeonDigger.entities,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): dungeonDigger.gameFlow; dungeonDigger.collisions; dungeonDigger.entities.templates
butlersrepos_dungeon-digger,dungeonDigger.entities,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dungeonDigger.entities; dungeonDigger.entities.templates; dungeonDigger.entities
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DungeonDigger; DungeonDiggerState; Lobby; MainMenu; MultiplayerDungeon; SinglePlayerDungeon; DungeonDigger; MultiplayerDungeon; SinglePlayerDungeon]; [DungeonDiggerState]; [Lobby]; [MainMenu]. LCC (Lack of Component Cohesion) = 0.33
butlersrepos_dungeon-digger,dungeonDigger.network,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 44
butlersrepos_dungeon-digger,dungeonDigger.network,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): dungeonDigger.gameFlow
butlersrepos_dungeon-digger,dungeonDigger.network,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientView]; [ConnectionState; Network; Network.ServerListener; Network.ClientListener; Network; Network.ServerListener; Network.ClientListener]; [Network.Response]; [Network.ChatPacket]; [Network.GameJoinPacket]; [Network.GameStartPacket]; [Network.LoginRequest]; [Network.LoginResponse]; [Network.SignOff]; [Network.TextPacket]; [Network.PlayerInfoPacket]; [Network.PlayerListPacket]; [Network.PlayerMovementUpdate]; [Network.PlayerMovementRequest]; [Network.PlayerMovementResponse]; [Network.TilesResponse]; [Network.TileResponse]; [Network.TilesRequest]; [Network.WholeMapPacket]; [ClientView]; [ConnectionState]; [Network.Response]; [Network.ChatPacket]; [Network.GameJoinPacket]; [Network.GameStartPacket]; [Network.LoginRequest]; [Network.LoginResponse]; [Network.SignOff]; [Network.TextPacket]; [Network.PlayerInfoPacket]; [Network.PlayerListPacket]; [Network.PlayerMovementUpdate]; [Network.PlayerMovementRequest]; [Network.PlayerMovementResponse]; [Network.TilesResponse]; [Network.TileResponse]; [Network.TilesRequest]; [Network.WholeMapPacket]. LCC (Lack of Component Cohesion) = 0.86
butlersrepos_dungeon-digger,dungeonDigger.Tools,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): dungeonDigger.entities; dungeonDigger.network; dungeonDigger.collisions; dungeonDigger.contentGeneration
butlersrepos_dungeon-digger,dungeonDigger.Tools,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dungeonDigger.Tools; dungeonDigger.entities; dungeonDigger.Tools
butlersrepos_dungeon-digger,dungeonDigger.Tools,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dungeonDigger.Tools; dungeonDigger.network; dungeonDigger.Tools
butlersrepos_dungeon-digger,dungeonDigger.Tools,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dungeonDigger.Tools; dungeonDigger.collisions; dungeonDigger.Tools
butlersrepos_dungeon-digger,dungeonDigger.Tools,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: dungeonDigger.Tools; dungeonDigger.contentGeneration; dungeonDigger.Tools
