Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: dungeon; playerList; dungeonHeight; dungeonWidth; ratio; r; roomList; roomDefinitionMap; isInitialized; roomWallImage; dirtFloorImage; roomFloorImage; dirtWallImage; entranceImage; ratioX; ratioY; entrance
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DungeonDigger; NetworkPlayer; MultiplayerDungeon; DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Hallway,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Room
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Toolbox,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: dungeon; dungeonHeight; dungeonWidth; r; roomList; roomDefinitionMap; isInitialized; ratioCol; ratioRow; entrance; myGuy
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,GameSquare,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Hallway,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Hallway,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Room
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Room,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.entities,NetworkPlayer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DungeonDigger; NetworkPlayer; MultiplayerDungeon; DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.entities,NetworkPlayer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 34 public methods
butlersrepos_dungeon-digger,dungeonDigger.entities,Ability,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EMPTY_ABILITY; name; active; damaging; channeling; friendly; mouse; inited; waitForClick; collided; spriteSheet; hitFrames; animation; secondaryAnimation; owner; speed; step; startPoint; middlePoint; endPoint; collisionPoint; lineOfTravel; adm; distance; intervals
butlersrepos_dungeon-digger,dungeonDigger.entities,Ability,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Mob; NetworkPlayer; Ability in method handleCollisions
butlersrepos_dungeon-digger,dungeonDigger.entities,Ability,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Mob; NetworkPlayer; Ability in method handleCollisions
butlersrepos_dungeon-digger,dungeonDigger.entities,Ability,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: QuadCollisionEngine; GameObject; References; AbilityFactory; Ability; Agent; TypeTemplate; Mob; MobAI; MobFactory
butlersrepos_dungeon-digger,dungeonDigger.entities,Ability,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 54 public methods
butlersrepos_dungeon-digger,dungeonDigger.entities,Agent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): GameObject
butlersrepos_dungeon-digger,dungeonDigger.entities,Mob,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Agent
butlersrepos_dungeon-digger,dungeonDigger.entities,Mob,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
butlersrepos_dungeon-digger,dungeonDigger.entities,NetworkPlayer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.entities,NetworkPlayer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Agent
butlersrepos_dungeon-digger,dungeonDigger.entities,NetworkPlayer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 42 public methods
butlersrepos_dungeon-digger,dungeonDigger.enums,BorderCheck,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
butlersrepos_dungeon-digger,dungeonDigger.enums,Direction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: adjX; adjY
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,DungeonDigger,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: myCharacter; SERVER; CLIENT; CHOSEN_GAME_STATE; MAINMENU; LOBBY; SINGLEPLAYERDUNGEON; MULTIPLAYERDUNGEON; ACCOUNT_NAME; IP_CONNECT; MAX_MESSAGE_LENGTH; STATE; IMAGES; TEXTS; CHATS; CHARACTERBANK; ACTIVESESSIONNAMES; KEY_BINDINGS
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,DungeonDigger,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DungeonDigger; NetworkPlayer; MultiplayerDungeon; DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,DungeonDiggerState,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: MultiplayerDungeon
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,Lobby,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,MainMenu,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,MultiplayerDungeon,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: startPos; CLIENT_VIEW; logger
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,MultiplayerDungeon,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DungeonDiggerState
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,SinglePlayerDungeon,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,DungeonDigger,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,DungeonDiggerState,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,Lobby,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,MainMenu,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,MultiplayerDungeon,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,MultiplayerDungeon,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DungeonDiggerState
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,SinglePlayerDungeon,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.network,ClientView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.network,ConnectionState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
butlersrepos_dungeon-digger,dungeonDigger.network,Network,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: port; logger; logger; response; text; gameStateId; x; y; ipAddress; account; password; ipAddress; account; password; text; x; y; durationInMilliseconds; passedTime; player; players; player; x; y; player; x; y; tiles; tile; row; col; list; dungeon; players
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ServerListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: logger
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ServerListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ClientListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: logger
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ClientListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.network,Network.Response,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: response
butlersrepos_dungeon-digger,dungeonDigger.network,Network.Response,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.network,Network.Response,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: response
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ChatPacket,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: text
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ChatPacket,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ChatPacket,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: text
butlersrepos_dungeon-digger,dungeonDigger.network,Network.GameJoinPacket,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: gameStateId
butlersrepos_dungeon-digger,dungeonDigger.network,Network.GameJoinPacket,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.network,Network.GameJoinPacket,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: gameStateId
butlersrepos_dungeon-digger,dungeonDigger.network,Network.GameStartPacket,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: x; y
butlersrepos_dungeon-digger,dungeonDigger.network,Network.GameStartPacket,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.network,Network.GameStartPacket,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: x; y
butlersrepos_dungeon-digger,dungeonDigger.network,Network.LoginRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ipAddress; account; password
butlersrepos_dungeon-digger,dungeonDigger.network,Network.LoginRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
butlersrepos_dungeon-digger,dungeonDigger.network,Network.LoginRequest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ipAddress; account; password
butlersrepos_dungeon-digger,dungeonDigger.network,Network.LoginResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
butlersrepos_dungeon-digger,dungeonDigger.network,Network.LoginResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
