Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,DungeonGenerator,21,1,0,39,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,DungeonGenerator,4,1,2,65,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,renderDungeon,60,15,2,70,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,initializeDungeon,14,3,2,143,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,generateDungeon1,19,5,4,166,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,generateDungeon2,23,6,6,200,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,generateRandomRoomWalk,67,14,1,236,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,friendlyNeighbors,16,4,2,333,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,wallNeighbors,11,4,2,357,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,placeRoom,32,10,3,378,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,checkCell,9,3,2,417,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,serverSendMap,9,3,0,435,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,checkBordersOwners,17,6,4,445,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,getDungeonDensity,11,4,0,467,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,canMove,22,5,3,480,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,designateEntranceSquare,11,4,0,520,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,designateExitSquare,11,3,0,533,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,getDungeonHeight,3,1,0,545,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,setDungeonHeight,3,1,1,551,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,getDungeonWidth,3,1,0,554,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,setDungeonWidth,3,1,1,557,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,setInitialized,3,1,1,560,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,isInitialized,3,1,0,563,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,getPlayerList,3,1,0,566,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,setPlayerList,3,1,1,569,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,getRatioX,3,1,0,572,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,getRatioY,3,1,0,575,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,getEntranceSqure,3,1,0,579,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,getEntranceCoords,3,1,0,585,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,setMap,8,3,1,592,0,dungeonDigger.contentGeneration.DungeonGenerator,dungeonDigger.contentGeneration.DungeonGenerator
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,GameSquare,GameSquare,2,1,0,7,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,GameSquare,isPassable,3,1,0,12,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,GameSquare,setTileLetter,3,1,1,15,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,GameSquare,getTileLetter,3,1,0,19,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,GameSquare,getTileLetter,3,1,1,25,0,,
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,GameSquare,setBelongsTo,3,1,1,32,0,,
