Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
butlersrepos_dungeon-digger,dungeonDigger.entities,Ability,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ABILITY (26)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,DungeonDigger,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: myCharacter (35); SERVER (36); CLIENT (37); CHOSEN_GAME_STATE (38); ACCOUNT_NAME (43); IP_CONNECT (44); MAX_MESSAGE_LENGTH (45); STATE (46); IMAGES (47); TEXTS (48); CHATS (49); CHARACTERBANK (50); ACTIVESESSIONNAMES (51); KEY_BINDINGS (52)
butlersrepos_dungeon-digger,dungeonDigger.gameFlow,MultiplayerDungeon,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CLIENT_VIEW (22)
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ServerListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ClientListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
butlersrepos_dungeon-digger,dungeonDigger.network,Network.ChatPacket,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
butlersrepos_dungeon-digger,dungeonDigger.network,Network.GameJoinPacket,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
butlersrepos_dungeon-digger,dungeonDigger.network,Network.GameStartPacket,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
butlersrepos_dungeon-digger,dungeonDigger.network,Network.LoginRequest,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
butlersrepos_dungeon-digger,dungeonDigger.network,Network.LoginResponse,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
butlersrepos_dungeon-digger,dungeonDigger.network,Network.SignOff,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
butlersrepos_dungeon-digger,dungeonDigger.network,Network.TextPacket,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
butlersrepos_dungeon-digger,dungeonDigger.network,Network.PlayerInfoPacket,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
