Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,17,2,30,24,490,106,0,0,0.0,6,7,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\ dungeon-digger --username Eric.Butler.000@gmail.com\DungeonDigger\src\dungeonDigger\contentGeneration\DungeonGenerator.java,25
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,GameSquare,2,0,7,7,33,7,0,0,0.42857142857142855,10,1,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\ dungeon-digger --username Eric.Butler.000@gmail.com\DungeonDigger\src\dungeonDigger\contentGeneration\GameSquare.java,3
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Hallway,0,0,1,1,6,1,0,1,-1.0,2,0,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\ dungeon-digger --username Eric.Butler.000@gmail.com\DungeonDigger\src\dungeonDigger\contentGeneration\Hallway.java,3
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Room,7,0,15,15,89,15,2,0,0.0,5,0,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\ dungeon-digger --username Eric.Butler.000@gmail.com\DungeonDigger\src\dungeonDigger\contentGeneration\Room.java,3
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Toolbox,0,0,2,2,8,2,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\ dungeon-digger --username Eric.Butler.000@gmail.com\DungeonDigger\src\dungeonDigger\contentGeneration\Toolbox.java,5
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,DungeonGenerator,11,3,29,23,473,106,0,0,0.10344827586206896,0,5,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\DungeonDigger\src\main\java\dungeonDigger\contentGeneration\DungeonGenerator.java,24
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,GameSquare,4,0,16,16,76,20,0,0,0.3125,0,3,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\DungeonDigger\src\main\java\dungeonDigger\contentGeneration\GameSquare.java,10
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Hallway,0,0,1,1,6,1,0,1,-1.0,0,0,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\DungeonDigger\src\main\java\dungeonDigger\contentGeneration\Hallway.java,3
butlersrepos_dungeon-digger,dungeonDigger.contentGeneration,Room,7,0,15,15,89,15,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\DungeonDigger\src\main\java\dungeonDigger\contentGeneration\Room.java,3
butlersrepos_dungeon-digger,dungeonDigger.entities,NetworkPlayer,15,0,34,34,168,44,0,0,0.08823529411764706,14,3,E:\Repositories\Cloned_Reposit\butlersrepos_dungeon-digger\ dungeon-digger --username Eric.Butler.000@gmail.com\DungeonDigger\src\dungeonDigger\entities\NetworkPlayer.java,18
