Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
c-mars_future.sample,c.mars,CallableFuture,CallableFuture,3,1,1,21,0,,
c-mars_future.sample,c.mars,CallableFuture,call,4,1,1,23,0,,
c-mars_future.sample,c.mars,CallableFuture,setArg,4,1,1,29,0,,
c-mars_future.sample,c.mars,CallableFuture,CallableFuture,5,1,2,34,0,,
c-mars_future.sample,c.mars,CallableFuture,cancel,3,1,1,40,0,,
c-mars_future.sample,c.mars,CallableFuture,isCancelled,3,1,0,45,0,,
c-mars_future.sample,c.mars,CallableFuture,isDone,3,1,0,50,0,,
c-mars_future.sample,c.mars,CallableFuture,get,8,2,0,55,0,,
c-mars_future.sample,c.mars,CallableFuture,get,8,2,2,65,0,,
c-mars_future.sample,c.mars,CallableFuture,run,13,1,0,76,0,,
c-mars_future.sample,c.mars,Main,main,39,2,1,7,0,,
c-mars_future.sample,c.mars,Main,call,3,1,1,11,0,,
c-mars_future.sample,c.mars,Main,run,16,2,0,22,0,,
c-mars_future.sample,c.mars,SimpleCallableFuture,SimpleCallableFuture,3,1,0,9,0,,
c-mars_future.sample,c.mars,SimpleCallableFuture,SimpleCallableFuture,3,1,1,13,0,,
