Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
caseyjames_myJavaProjects,assignment1,MatrixTester,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
caseyjames_myJavaProjects,assignment2,LibraryBook,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Book
caseyjames_myJavaProjects,assignment2,LibraryBookGeneric,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Book
caseyjames_myJavaProjects,assignment2,LibraryGeneric.OrderByIsbn,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
caseyjames_myJavaProjects,assignment2,LibraryGeneric.OrderByIsbn,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
caseyjames_myJavaProjects,assignment2,LibraryGeneric.OrderByAuthor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
caseyjames_myJavaProjects,assignment2,LibraryGeneric.OrderByAuthor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
caseyjames_myJavaProjects,assignment2,LibraryGeneric.OrderByDueDate,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
caseyjames_myJavaProjects,assignment2,LibraryGeneric.OrderByDueDate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
caseyjames_myJavaProjects,assignment2,LibraryTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
caseyjames_myJavaProjects,assignment3,ArrayBasedCollection.ArrayBasedIterator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: index; canRemove; toRemove
caseyjames_myJavaProjects,assignment3,ArrayBasedCollection.ArrayBasedIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
caseyjames_myJavaProjects,assignment3,ArrayBasedCollectionTester,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
