Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
caseyjames_myJavaProjects,assignment1,Matrix,equals,Long Statement,The length of the statement "for (int i=0; i < m.numRows; i++) for (int j=0; j < m.numColumns; j++) if (!(m.data[i][j] == this.data[i][j])) return false;" is 124.,36
caseyjames_myJavaProjects,assignment2,Library,addAll,Long Statement,The length of the statement "System.err.println(e.getLocalizedMessage() + " formatted incorrectly at line " + e.getErrorOffset()+ ". Nothing added to the library.");" is 136.,51
caseyjames_myJavaProjects,assignment2,Library,checkout,Long Parameter List,The method has 5 parameters. ,150
caseyjames_myJavaProjects,assignment2,LibraryGeneric,addAll,Long Statement,The length of the statement "System.err.println(e.getLocalizedMessage() + " formatted incorrectly at line " + e.getErrorOffset()+ ". Nothing added to the library.");" is 136.,68
caseyjames_myJavaProjects,assignment2,LibraryGeneric,lookup,Long Statement,The length of the statement "for ( LibraryBookGeneric<Type> libraryBookGeneric : library) if (libraryBookGeneric.getIsbn() == isbn) return libraryBookGeneric.getHolder();" is 141.,127
caseyjames_myJavaProjects,assignment2,LibraryGeneric,checkout,Long Parameter List,The method has 5 parameters. ,166
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Complex Conditional,The conditional expression booksCheckedOut1 == null || booksCheckedOut1.size() != 2 || !booksCheckedOut1.contains(new Book(9780330351690L`"Jon Krakauer"`"Into the Wild")) || !booksCheckedOut1.contains(new Book(9780374292799L`"Thomas L. Friedman"`"The World is Flat")) || !booksCheckedOut1.get(0).getHolder().equals(patron1) || !booksCheckedOut1.get(0).getDueDate().equals(new GregorianCalendar(2008`1`1)) || !booksCheckedOut1.get(1).getHolder().equals(patron1) || !booksCheckedOut1.get(1).getDueDate().equals(new GregorianCalendar(2008`1`1)) is complex.,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Complex Conditional,The conditional expression booksCheckedOut2 == null || booksCheckedOut2.size() != 2 || !booksCheckedOut2.contains(new Book(9780330351690L`"Jon Krakauer"`"Into the Wild")) || !booksCheckedOut2.contains(new Book(9780374292799L`"Thomas L. Friedman"`"The World is Flat")) || !booksCheckedOut2.get(0).getHolder().equals(patron2) || !booksCheckedOut2.get(0).getDueDate().equals(new GregorianCalendar(2008`1`1)) || !booksCheckedOut2.get(1).getHolder().equals(patron2) || !booksCheckedOut2.get(1).getDueDate().equals(new GregorianCalendar(2008`1`1)) is complex.,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Complex Method,Cyclomatic complexity of the method is 11,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Long Statement,The length of the statement "if (booksCheckedOut1 == null || booksCheckedOut1.size() != 2 || !booksCheckedOut1.contains(new Book(9780330351690L`"Jon Krakauer"`"Into the Wild")) || !booksCheckedOut1.contains(new Book(9780374292799L`"Thomas L. Friedman"`"The World is Flat")) || !booksCheckedOut1.get(0).getHolder().equals(patron1) || !booksCheckedOut1.get(0).getDueDate().equals(new GregorianCalendar(2008`1`1)) || !booksCheckedOut1.get(1).getHolder().equals(patron1) || !booksCheckedOut1.get(1).getDueDate().equals(new GregorianCalendar(2008`1`1))) System.err.println("TEST FAILED: lookup(holder)");" is 570.,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Long Statement,The length of the statement "if (booksCheckedOut2 == null || booksCheckedOut2.size() != 2 || !booksCheckedOut2.contains(new Book(9780330351690L`"Jon Krakauer"`"Into the Wild")) || !booksCheckedOut2.contains(new Book(9780374292799L`"Thomas L. Friedman"`"The World is Flat")) || !booksCheckedOut2.get(0).getHolder().equals(patron2) || !booksCheckedOut2.get(0).getDueDate().equals(new GregorianCalendar(2008`1`1)) || !booksCheckedOut2.get(1).getHolder().equals(patron2) || !booksCheckedOut2.get(1).getDueDate().equals(new GregorianCalendar(2008`1`1))) System.err.println("TEST FAILED: lookup(holder)");" is 570.,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780374292799L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780330351690L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780446580342L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780330351690L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2008,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780374292799L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2008,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780330351690L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780374292799L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2008,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2008,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780374292799L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780330351690L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780446580342L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780330351690L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2008,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780374292799L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2008,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780330351690L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 9780374292799L,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2008,15
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,Magic Number,The method contains a magic number: 2008,15
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Complex Conditional,The conditional expression booksCheckedOut == null || booksCheckedOut.size() != 1 || !booksCheckedOut.get(0).equals(new Book(9780330351690L`"Jon Krakauer"`"Into the Wild")) || !booksCheckedOut.get(0).getHolder().equals("Jane Doe") || !booksCheckedOut.get(0).getDueDate().equals(new GregorianCalendar(2008`1`1)) is complex.,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Complex Method,Cyclomatic complexity of the method is 15,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Long Statement,The length of the statement "if (booksCheckedOut == null || booksCheckedOut.size() != 0) System.err.println("TEST FAILED -- empty library: lookup(holder)");" is 127.,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Long Statement,The length of the statement "if (booksCheckedOut == null || booksCheckedOut.size() != 1 || !booksCheckedOut.get(0).equals(new Book(9780330351690L`"Jon Krakauer"`"Into the Wild")) || !booksCheckedOut.get(0).getHolder().equals("Jane Doe") || !booksCheckedOut.get(0).getDueDate().equals(new GregorianCalendar(2008`1`1))) System.err.println("TEST FAILED -- small library: lookup(holder)");" is 356.,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 978037429279L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 978037429279L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 2008,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 978037429279L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 9780374292799L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 9780330351690L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 9780446580342L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 9780330351690L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 9780330351690L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 2008,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 9780330351690L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 2008,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 9780330351690L,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 10000,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 12,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 12,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 12,18
caseyjames_myJavaProjects,assignment2,LibraryTest,main,Magic Number,The method contains a magic number: 10000,18
caseyjames_myJavaProjects,assignment2,LibraryTest,generateLibrary,Magic Number,The method contains a magic number: 13,116
caseyjames_myJavaProjects,assignment2,LibraryTest,generateLibrary,Magic Number,The method contains a magic number: 10,116
caseyjames_myJavaProjects,assignment2,LibraryTest,generateIsbn,Magic Number,The method contains a magic number: 13,142
caseyjames_myJavaProjects,assignment2,LibraryTest,generateIsbn,Magic Number,The method contains a magic number: 10,142
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,setUp,Magic Number,The method contains a magic number: 1234567890123L,22
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,setUp,Magic Number,The method contains a magic number: 1234567890354L,22
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,setUp,Magic Number,The method contains a magic number: 1234567890687L,22
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,setUp,Magic Number,The method contains a magic number: 1234567890500L,22
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,setUp,Magic Number,The method contains a magic number: 1234567890501L,22
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,setUp,Magic Number,The method contains a magic number: 1234567890506L,22
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetInventoryList,Magic Number,The method contains a magic number: 2,51
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetInventoryList,Magic Number,The method contains a magic number: 3,51
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetInventoryList,Magic Number,The method contains a magic number: 4,51
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetInventoryList,Magic Number,The method contains a magic number: 5,51
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOrderedByAuthor,Magic Number,The method contains a magic number: 2,64
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOrderedByAuthor,Magic Number,The method contains a magic number: 3,64
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOrderedByAuthor,Magic Number,The method contains a magic number: 4,64
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOrderedByAuthor,Magic Number,The method contains a magic number: 5,64
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 2014,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 5,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 26,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 2014,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 5,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 26,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 2014,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 5,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 28,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 2014,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 5,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 24,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 2014,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 5,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 29,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 2014,77
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOverdueList,Magic Number,The method contains a magic number: 5,77
