Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
caseyjames_myJavaProjects,assignment1,Matrix,Matrix,7,4,1,14,0,,
caseyjames_myJavaProjects,assignment1,Matrix,equals,7,6,1,36,0,,
caseyjames_myJavaProjects,assignment1,Matrix,toString,8,3,0,60,0,,
caseyjames_myJavaProjects,assignment1,Matrix,times,24,7,1,76,0,,
caseyjames_myJavaProjects,assignment1,Matrix,plus,11,4,1,128,0,,
caseyjames_myJavaProjects,assignment1,MatrixTester,main,46,3,1,12,0,,
caseyjames_myJavaProjects,assignment2,Book,Book,5,1,3,19,0,,
caseyjames_myJavaProjects,assignment2,Book,getAuthor,3,1,0,25,0,,
caseyjames_myJavaProjects,assignment2,Book,getIsbn,3,1,0,32,0,,
caseyjames_myJavaProjects,assignment2,Book,getTitle,3,1,0,39,0,,
caseyjames_myJavaProjects,assignment2,Book,equals,8,5,1,46,0,assignment2.Book,assignment2.Book
caseyjames_myJavaProjects,assignment2,Book,toString,3,1,0,74,0,,
caseyjames_myJavaProjects,assignment2,Library,Library,3,1,0,23,0,,
caseyjames_myJavaProjects,assignment2,Library,add,3,1,3,27,0,,
caseyjames_myJavaProjects,assignment2,Library,addAll,3,1,1,41,0,,
caseyjames_myJavaProjects,assignment2,Library,addAll,33,5,1,51,0,,
caseyjames_myJavaProjects,assignment2,Library,lookup,4,3,1,111,0,,
caseyjames_myJavaProjects,assignment2,Library,lookup,8,4,1,126,0,,
caseyjames_myJavaProjects,assignment2,Library,checkout,9,4,5,150,0,,
caseyjames_myJavaProjects,assignment2,Library,checkin,8,4,1,187,0,,
caseyjames_myJavaProjects,assignment2,Library,checkin,6,3,1,211,0,,
caseyjames_myJavaProjects,assignment2,Library,bookList,3,1,0,236,0,,
caseyjames_myJavaProjects,assignment2,Library,bookCount,3,1,0,243,0,,
caseyjames_myJavaProjects,assignment2,Library,getInstanceOf,3,1,1,252,0,,
caseyjames_myJavaProjects,assignment2,LibraryBook,LibraryBook,5,1,3,21,0,,
caseyjames_myJavaProjects,assignment2,LibraryBook,getDueDate,3,1,0,32,0,,
caseyjames_myJavaProjects,assignment2,LibraryBook,getHolder,3,1,0,39,0,,
caseyjames_myJavaProjects,assignment2,LibraryBook,setHolder,3,1,1,46,0,,
caseyjames_myJavaProjects,assignment2,LibraryBook,setDueDate,3,1,3,55,0,,
caseyjames_myJavaProjects,assignment2,LibraryBook,checkIn,4,1,0,66,0,,
caseyjames_myJavaProjects,assignment2,LibraryBookGeneric,LibraryBookGeneric,5,1,3,20,0,,
caseyjames_myJavaProjects,assignment2,LibraryBookGeneric,getDueDate,3,1,0,31,0,,
caseyjames_myJavaProjects,assignment2,LibraryBookGeneric,getHolder,3,1,0,38,0,,
caseyjames_myJavaProjects,assignment2,LibraryBookGeneric,setHolder,3,1,1,45,0,,
caseyjames_myJavaProjects,assignment2,LibraryBookGeneric,setDueDate,3,1,3,52,0,,
caseyjames_myJavaProjects,assignment2,LibraryBookGeneric,checkIn,4,1,0,59,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,LibraryGeneric,3,1,0,21,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,sort,9,4,2,25,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,add,3,1,3,44,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,addAll,3,1,1,58,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,addAll,33,5,1,68,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,lookup,4,3,1,127,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,lookup,8,4,1,142,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,checkout,9,4,5,166,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,checkin,8,4,1,203,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,checkin,6,3,1,229,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,bookList,3,1,0,251,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,getInventoryList,7,1,0,258,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,getOrderedByAuthor,7,1,0,272,0,,
caseyjames_myJavaProjects,assignment2,LibraryGeneric,getOverdueList,11,4,3,286,0,,
caseyjames_myJavaProjects,assignment2,LibraryGenericTest,main,34,11,1,15,0,,
caseyjames_myJavaProjects,assignment2,LibraryTest,main,51,15,1,18,0,assignment2.LibraryTest,assignment2.LibraryTest
caseyjames_myJavaProjects,assignment2,LibraryTest,generateLibrary,10,3,1,116,0,,
caseyjames_myJavaProjects,assignment2,LibraryTest,generateIsbn,6,2,0,142,0,,
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,setUp,16,1,0,22,0,,
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,tearDown,3,1,0,47,0,,
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetInventoryList,9,1,0,51,0,,
caseyjames_myJavaProjects,assignment2,OurLibraryGenericTest,testGetOrderedByAuthor,9,1,0,64,0,,
