Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
catoenm_E-MERGE,(default package),GUI,initComponents,Long Statement,The length of the statement "modelNumberText.setModel(new javax.swing.DefaultComboBoxModel(new String[]{"EM1-15"`"EM1-15HS"`"EM1-30"`"EM1-30HS"`"EM1-30UHS"`"EM1-30-22"`"EM2-50"`"EM2-50HS"`"EM2-50UHS"`"EM2-80"`"EM2-80HS"`"EM2-80UHS"`"EM3-100"`"EM3-100HS"`"EM3-200"`"EM3-200HS"`"EM3-250"`"EM4-350"`"EM4-550"`"EM4-350HP"`"EM4-550HP"`"EM4-350HS"`"EM4-550MHS"`"EM4-550HS"}));" is 341.,55
catoenm_E-MERGE,(default package),GUI,initComponents,Long Statement,The length of the statement "screwDiameterText.setModel(new javax.swing.DefaultComboBoxModel(new String[]{"12"`"14"`"16"`"18"`"20"`"22"`"25"`"28"`"32"`"35"`"38"`"40"`"45"`"50"`"55"}));" is 155.,55
catoenm_E-MERGE,(default package),GUI,initComponents,Long Statement,The length of the statement "layout.setHorizontalGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGroup(layout.createSequentialGroup().addContainerGap().addGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addComponent(jScrollPane1).addGroup(layout.createSequentialGroup().addGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGroup(layout.createSequentialGroup().addComponent(jLabel4).addGap(100`100`100)).addGroup(javax.swing.GroupLayout.Alignment.TRAILING`layout.createSequentialGroup().addComponent(jLabel2).addGap(18`18`18).addGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING`false).addComponent(modelNumberText`0`javax.swing.GroupLayout.DEFAULT_SIZE`Short.MAX_VALUE).addComponent(specSheetPath`javax.swing.GroupLayout.DEFAULT_SIZE`280`Short.MAX_VALUE)))).addGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING`false).addGroup(layout.createSequentialGroup().addGap(10`10`10).addComponent(button2`javax.swing.GroupLayout.DEFAULT_SIZE`javax.swing.GroupLayout.DEFAULT_SIZE`Short.MAX_VALUE)).addGroup(layout.createSequentialGroup().addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.RELATED).addComponent(jLabel3))).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.RELATED).addGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addComponent(machineDataPath).addComponent(screwDiameterText`0`javax.swing.GroupLayout.DEFAULT_SIZE`Short.MAX_VALUE))).addGroup(layout.createSequentialGroup().addComponent(jLabel1).addGap(0`168`Short.MAX_VALUE)).addGroup(layout.createSequentialGroup().addGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.TRAILING`false).addComponent(button1`javax.swing.GroupLayout.Alignment.LEADING`javax.swing.GroupLayout.DEFAULT_SIZE`158`Short.MAX_VALUE).addComponent(StartButton`javax.swing.GroupLayout.Alignment.LEADING`javax.swing.GroupLayout.DEFAULT_SIZE`javax.swing.GroupLayout.DEFAULT_SIZE`Short.MAX_VALUE)).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.RELATED`526`Short.MAX_VALUE).addComponent(proceedButton`javax.swing.GroupLayout.PREFERRED_SIZE`javax.swing.GroupLayout.DEFAULT_SIZE`javax.swing.GroupLayout.PREFERRED_SIZE))).addContainerGap()));" is 2247.,55
catoenm_E-MERGE,(default package),GUI,initComponents,Long Statement,The length of the statement "layout.setVerticalGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGroup(layout.createSequentialGroup().addContainerGap().addComponent(jLabel1).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.UNRELATED).addComponent(jLabel4).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.RELATED).addGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addComponent(button1`javax.swing.GroupLayout.PREFERRED_SIZE`40`javax.swing.GroupLayout.PREFERRED_SIZE).addComponent(specSheetPath`javax.swing.GroupLayout.PREFERRED_SIZE`40`javax.swing.GroupLayout.PREFERRED_SIZE).addComponent(button2`javax.swing.GroupLayout.PREFERRED_SIZE`40`javax.swing.GroupLayout.PREFERRED_SIZE).addComponent(machineDataPath`javax.swing.GroupLayout.PREFERRED_SIZE`40`javax.swing.GroupLayout.PREFERRED_SIZE)).addGap(30`30`30).addGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.BASELINE).addComponent(jLabel2).addComponent(jLabel3).addComponent(modelNumberText`javax.swing.GroupLayout.PREFERRED_SIZE`37`javax.swing.GroupLayout.PREFERRED_SIZE).addComponent(screwDiameterText`javax.swing.GroupLayout.PREFERRED_SIZE`37`javax.swing.GroupLayout.PREFERRED_SIZE)).addGap(46`46`46).addGroup(layout.createParallelGroup(javax.swing.GroupLayout.Alignment.TRAILING).addComponent(proceedButton`javax.swing.GroupLayout.PREFERRED_SIZE`39`javax.swing.GroupLayout.PREFERRED_SIZE).addComponent(StartButton`javax.swing.GroupLayout.PREFERRED_SIZE`39`javax.swing.GroupLayout.PREFERRED_SIZE)).addGap(18`18`18).addComponent(jScrollPane1`javax.swing.GroupLayout.DEFAULT_SIZE`283`Short.MAX_VALUE).addContainerGap()));" is 1641.,55
catoenm_E-MERGE,(default package),GUI,initComponents,Magic Number,The method contains a magic number: 48,55
catoenm_E-MERGE,(default package),GUI,initComponents,Magic Number,The method contains a magic number: 20,55
catoenm_E-MERGE,(default package),GUI,initComponents,Magic Number,The method contains a magic number: 5,55
catoenm_E-MERGE,(default package),GUI,initComponents,Magic Number,The method contains a magic number: 22,55
catoenm_E-MERGE,(default package),GUI,initComponents,Magic Number,The method contains a magic number: 20,55
catoenm_E-MERGE,(default package),GUI,initComponents,Magic Number,The method contains a magic number: 24,55
