Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
catoenm_E-MERGE,(default package),GUI,GUI,3,1,0,35,0,,
catoenm_E-MERGE,(default package),GUI,initComponents,68,1,0,55,0,,
catoenm_E-MERGE,(default package),GUI,actionPerformed,3,1,1,92,0,,
catoenm_E-MERGE,(default package),GUI,actionPerformed,3,1,1,102,0,,
catoenm_E-MERGE,(default package),GUI,actionPerformed,3,1,1,109,0,,
catoenm_E-MERGE,(default package),GUI,actionPerformed,3,1,1,122,0,,
catoenm_E-MERGE,(default package),GUI,StartButtonActionPerformed,113,23,1,203,0,,
catoenm_E-MERGE,(default package),GUI,button2ActionPerformed,8,1,1,349,0,,
catoenm_E-MERGE,(default package),GUI,button1ActionPerformed,7,1,1,360,0,,
catoenm_E-MERGE,(default package),GUI,proceedButtonActionPerformed,5,1,1,372,0,,
catoenm_E-MERGE,(default package),GUI,main,28,3,1,380,0,,
catoenm_E-MERGE,(default package),GUI,run,3,1,0,409,0,,
catoenm_E-MERGE,(default package),GUI,GUI,3,1,0,35,0,,
catoenm_E-MERGE,(default package),GUI,initComponents,68,1,0,55,0,,
catoenm_E-MERGE,(default package),GUI,actionPerformed,3,1,1,92,0,,
catoenm_E-MERGE,(default package),GUI,actionPerformed,3,1,1,102,0,,
catoenm_E-MERGE,(default package),GUI,actionPerformed,3,1,1,109,0,,
catoenm_E-MERGE,(default package),GUI,actionPerformed,3,1,1,122,0,,
catoenm_E-MERGE,(default package),GUI,StartButtonActionPerformed,113,23,1,203,0,,
catoenm_E-MERGE,(default package),GUI,button2ActionPerformed,8,1,1,349,0,,
catoenm_E-MERGE,(default package),GUI,button1ActionPerformed,7,1,1,360,0,,
catoenm_E-MERGE,(default package),GUI,proceedButtonActionPerformed,5,1,1,372,0,,
catoenm_E-MERGE,(default package),GUI,main,28,3,1,380,0,,
catoenm_E-MERGE,(default package),GUI,run,3,1,0,409,0,,
catoenm_E-MERGE,(default package),ChangeXML,ChangeXML,9,1,6,50,0,,
catoenm_E-MERGE,(default package),ChangeXML,initComponents,51,1,0,60,0,,
catoenm_E-MERGE,(default package),ChangeXML,actionPerformed,3,1,1,87,0,,
catoenm_E-MERGE,(default package),ChangeXML,actionPerformed,3,1,1,96,0,,
catoenm_E-MERGE,(default package),ChangeXML,valueChanged,3,1,1,108,0,,
catoenm_E-MERGE,(default package),ChangeXML,button1ActionPerformed,7,2,1,171,0,,
catoenm_E-MERGE,(default package),ChangeXML,button2ActionPerformed,31,4,1,179,0,,
catoenm_E-MERGE,(default package),ChangeXML,incorrectVariablesValueChanged,15,5,1,219,0,,
catoenm_E-MERGE,(default package),ChangeXML,main,28,3,1,236,0,,
catoenm_E-MERGE,(default package),ChangeXML,run,3,1,0,265,0,,
catoenm_E-MERGE,(default package),MachineDataCompare,main,126,21,1,29,0,,
