Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
codylerum_simple-identity,com.outjected.identity,Authenticator,authenticate,0,1,0,10,0,,
codylerum_simple-identity,com.outjected.identity,Authenticator,getUser,0,1,0,12,0,,
codylerum_simple-identity,com.outjected.identity,Authenticator,getStatus,0,1,0,14,0,,
codylerum_simple-identity,com.outjected.identity,BaseAuthenticator,getStatus,3,1,0,8,0,,
codylerum_simple-identity,com.outjected.identity,BaseAuthenticator,setStatus,3,1,1,12,0,,
codylerum_simple-identity,com.outjected.identity,BaseAuthenticator,getUser,3,1,0,16,0,,
codylerum_simple-identity,com.outjected.identity,BaseAuthenticator,setUser,3,1,1,20,0,,
codylerum_simple-identity,com.outjected.identity,Identity,isLoggedIn,0,1,0,13,0,,
codylerum_simple-identity,com.outjected.identity,Identity,getUser,0,1,0,15,0,,
codylerum_simple-identity,com.outjected.identity,Identity,setAuthenticatorClass,0,1,1,17,0,,
codylerum_simple-identity,com.outjected.identity,Identity,login,0,1,0,19,0,,
codylerum_simple-identity,com.outjected.identity,Identity,logout,0,1,0,21,0,,
codylerum_simple-identity,com.outjected.identity,Identity,hasRole,0,1,1,23,0,,
codylerum_simple-identity,com.outjected.identity,Identity,addRole,0,1,1,25,0,,
codylerum_simple-identity,com.outjected.identity,Identity,hasPermission,0,1,1,27,0,,
codylerum_simple-identity,com.outjected.identity,Identity,addPermission,0,1,1,29,0,,
codylerum_simple-identity,com.outjected.identity,Identity,resetRolesAndPermissions,0,1,0,31,0,,
codylerum_simple-identity,com.outjected.identity,IdentityImpl,isLoggedIn,3,1,0,33,0,,
codylerum_simple-identity,com.outjected.identity,IdentityImpl,getUser,3,1,0,37,0,,
codylerum_simple-identity,com.outjected.identity,IdentityImpl,setAuthenticatorClass,3,1,1,41,0,,
codylerum_simple-identity,com.outjected.identity,IdentityImpl,login,11,2,0,45,0,com.outjected.identity.IdentityImpl,com.outjected.identity.IdentityImpl
codylerum_simple-identity,com.outjected.identity,IdentityImpl,logout,7,2,0,57,0,com.outjected.identity.IdentityImpl,com.outjected.identity.IdentityImpl
codylerum_simple-identity,com.outjected.identity,IdentityImpl,hasRole,3,1,1,65,0,,
codylerum_simple-identity,com.outjected.identity,IdentityImpl,addRole,4,1,1,69,0,,
codylerum_simple-identity,com.outjected.identity,IdentityImpl,hasPermission,3,1,1,74,0,,
codylerum_simple-identity,com.outjected.identity,IdentityImpl,addPermission,3,1,1,78,0,,
codylerum_simple-identity,com.outjected.identity,IdentityImpl,resetRolesAndPermissions,4,1,0,82,0,,
codylerum_simple-identity,com.outjected.identity,IdentityUser,getUsername,0,1,0,10,0,,
codylerum_simple-identity,com.outjected.identity,SimplePermission,getType,0,1,0,4,0,,
codylerum_simple-identity,com.outjected.identity,SimpleRole,getPermissions,0,1,0,11,0,,
codylerum_simple-identity,com.outjected.identity,SimpleRole,getType,0,1,0,12,0,,
codylerum_simple-identity,com.outjected.identity.events,PostLoggedOutEvent,PostLoggedOutEvent,3,1,1,9,0,,
codylerum_simple-identity,com.outjected.identity.events,PostLoggedOutEvent,getUser,3,1,0,13,0,,
