Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
coronalabs_plugins-source-google-iap-v3,com.coronalabs.test.iap,CoronaApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
coronalabs_plugins-source-google-iap-v3,com.coronalabs.test.iap,CoronaApplication.CoronaRuntimeEventHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
coronalabs_plugins-source-google-iap-v3,com.coronalabs.test.iap,CoronaApplication.CoronaRuntimeEventHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.InitWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.InitWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.LoadProductsWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.LoadProductsWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.PurchaseWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.PurchaseWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.PurchaseSubscriptionWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.PurchaseSubscriptionWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.ConsumePurchaseWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.ConsumePurchaseWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.FinishTransactionWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.FinishTransactionWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.RestoreWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
