Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,executeUsing,Magic Number,The method contains a magic number: 2,45
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,executeUsing,Magic Number,The method contains a magic number: 2,45
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,executeUsing,Magic Number,The method contains a magic number: 2,45
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,executeUsing,Magic Number,The method contains a magic number: 2,45
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,executeUsing,Magic Number,The method contains a magic number: 2,45
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,executeUsing,Magic Number,The method contains a magic number: 2,45
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,executeUsing,Magic Number,The method contains a magic number: 2,45
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,executeUsing,Magic Number,The method contains a magic number: 2,45
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,invoke,Long Statement,The length of the statement "NamedJavaFunction[] luaFunctions=new NamedJavaFunction[]{new InitWrapper()`new LoadProductsWrapper()`new PurchaseWrapper()`new ConsumePurchaseWrapper()`new PurchaseSubscriptionWrapper()`new FinishTransactionWrapper()`new RestoreWrapper()};" is 239.,71
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,invoke,Magic Number,The method contains a magic number: 2,71
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,invoke,Magic Number,The method contains a magic number: 2,71
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,invoke,Magic Number,The method contains a magic number: 2,71
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,invoke,Magic Number,The method contains a magic number: 2,71
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,invoke,Magic Number,The method contains a magic number: 2,71
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,init,Complex Method,Cyclomatic complexity of the method is 12,115
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,loadProducts,Long Statement,The length of the statement "final int listener=CoronaLua.isListener(L`listenerIndex`"productList") ? CoronaLua.newRef(L`listenerIndex) : CoronaLua.REFNIL;" is 126.,194
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,loadProducts,Long Statement,The length of the statement "fHelper.queryInventoryAsync(true`managedProducts`finalSubscriptionProducts`new IabHelper.QueryInventoryFinishedListener(){" is 122.,194
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,loadProducts,Magic Number,The method contains a magic number: 2,194
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,purchaseSubscription,Long Statement,The length of the statement "@Override public void onHandleActivityResult( CoronaActivity activity` int requestCode` int resultCode` android.content.Intent data){" is 133.,274
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,purchase,Long Statement,The length of the statement "@Override public void onHandleActivityResult( CoronaActivity activity` int requestCode` int resultCode` android.content.Intent data){" is 133.,309
