Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
coronalabs_plugins-source-google-iap-v3,com.coronalabs.test.iap,CoronaApplication,onCreate,4,1,0,18,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,InitRuntimeTask,6,1,4,38,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,executeUsing,40,4,1,45,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,queryInventoryAsync,6,2,2,39,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,LuaLoader,6,2,0,56,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,initSuccessful,3,1,0,67,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,invoke,20,1,1,71,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,init,62,12,1,115,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,onIabSetupFinished,14,3,1,159,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,loadProducts,47,7,1,194,0,plugin.google.iap.v3.LuaLoader,plugin.google.iap.v3.LuaLoader
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,onQueryInventoryFinished,4,1,2,238,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,restore,22,4,1,249,0,plugin.google.iap.v3.LuaLoader,plugin.google.iap.v3.LuaLoader
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,onQueryInventoryFinished,12,3,2,256,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,purchaseSubscription,29,5,1,274,0,plugin.google.iap.v3.LuaLoader,plugin.google.iap.v3.LuaLoader
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,onHandleActivityResult,7,2,4,287,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,purchase,29,5,1,309,0,plugin.google.iap.v3.LuaLoader,plugin.google.iap.v3.LuaLoader
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,onHandleActivityResult,7,2,4,322,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,consumePurchase,64,10,1,344,0,plugin.google.iap.v3.LuaLoader,plugin.google.iap.v3.LuaLoader
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,onQueryInventoryFinished,32,5,2,373,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,onConsumeMultiFinished,14,2,2,392,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,ProductListRuntimeTask,ProductListRuntimeTask,7,1,5,40,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,ProductListRuntimeTask,executeUsing,62,10,1,48,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,PurchaseFinishedListener,addListener,3,1,1,39,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,PurchaseFinishedListener,removeListener,3,1,1,43,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,PurchaseFinishedListener,PurchaseFinishedListener,4,1,2,50,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,PurchaseFinishedListener,onIabPurchaseFinished,10,2,2,55,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,StoreTransactionRuntimeTask,StoreTransactionRuntimeTask,5,1,3,35,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,StoreTransactionRuntimeTask,executeUsing,0,7,1,41,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,Base64,2,1,0,168,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,encode3to4,0,4,6,174,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,encode,3,1,1,238,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,encodeWebSafe,3,1,2,250,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,encode,11,3,5,261,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,encode,33,5,5,289,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,decode4to3,20,3,5,352,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,decode,4,1,1,411,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,decodeWebSafe,4,1,1,423,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,decode,3,1,1,435,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,decodeWebSafe,3,1,1,448,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,decode,3,1,3,461,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,decodeWebSafe,3,1,3,477,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64,decode,50,11,4,492,0,plugin.google.iap.v3.util.Base64,plugin.google.iap.v3.util.Base64
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64DecoderException,Base64DecoderException,3,1,0,23,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,Base64DecoderException,Base64DecoderException,3,1,1,27,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,IabException,IabException,3,1,1,27,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,IabException,IabException,3,1,2,30,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,IabException,IabException,4,1,2,33,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,IabException,IabException,3,1,3,37,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,IabException,getResult,3,1,0,41,0,,
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,IabHelper,IabHelper,5,1,2,154,0,plugin.google.iap.v3.util.IabHelper,plugin.google.iap.v3.util.IabHelper
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3.util,IabHelper,enableDebugLogging,5,1,2,171,0,plugin.google.iap.v3.util.IabHelper,plugin.google.iap.v3.util.IabHelper
