Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
coronalabs_plugins-source-google-iap-v3,com.coronalabs.test.iap,CoronaApplication,0,0,1,1,47,1,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\app\src\main\java\com\coronalabs\test\iap\CoronaApplication.java,10
coronalabs_plugins-source-google-iap-v3,com.coronalabs.test.iap,CoronaApplication.CoronaRuntimeEventHandler,0,0,0,0,35,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\app\src\main\java\com\coronalabs\test\iap\CoronaApplication.java,26
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,InitRuntimeTask,5,0,2,2,53,5,0,0,0.0,1,2,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\plugin\src\main\java\plugin\google\iap\v3\InitRuntimeTask.java,30
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader,7,0,17,10,362,67,0,0,0.11764705882352941,0,7,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\plugin\src\main\java\plugin\google\iap\v3\LuaLoader.java,37
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.InitWrapper,0,0,0,0,11,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\plugin\src\main\java\plugin\google\iap\v3\LuaLoader.java,415
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.LoadProductsWrapper,0,0,0,0,8,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\plugin\src\main\java\plugin\google\iap\v3\LuaLoader.java,430
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.PurchaseWrapper,0,0,0,0,8,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\plugin\src\main\java\plugin\google\iap\v3\LuaLoader.java,442
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.PurchaseSubscriptionWrapper,0,0,0,0,8,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\plugin\src\main\java\plugin\google\iap\v3\LuaLoader.java,454
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.ConsumePurchaseWrapper,0,0,0,0,8,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\plugin\src\main\java\plugin\google\iap\v3\LuaLoader.java,466
coronalabs_plugins-source-google-iap-v3,plugin.google.iap.v3,LuaLoader.FinishTransactionWrapper,0,0,0,0,8,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\coronalabs_plugins-source-google-iap-v3\android\plugin\src\main\java\plugin\google\iap\v3\LuaLoader.java,478
