Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
edfullest_Mi-Primera-Applet,(default package),Animal,Animal,5,1,3,21,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,Animal,5,1,3,38,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,setX,3,1,1,55,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,getX,3,1,0,67,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,setY,3,1,1,79,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,getY,3,1,0,91,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,setImageIcon,3,1,1,103,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,getImageIcon,3,1,0,115,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,setImagen,3,1,1,127,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,getImagen,3,1,0,140,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,getAncho,3,1,0,152,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,getAlto,3,1,0,164,0,,
edfullest_Mi-Primera-Applet,(default package),Animal,paint,3,1,2,176,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,init,34,1,0,46,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,start,4,1,0,132,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,run,13,2,0,149,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,actualiza,72,17,0,177,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,checaColision,34,9,0,261,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,update,11,2,1,326,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,keyPressed,2,1,1,358,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,keyTyped,2,1,1,372,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,keyReleased,26,9,1,386,0,,
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,paint,8,2,1,431,0,,
