Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl.DataNodeImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: data; next; previous
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl.DataNodeImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl.AbstractSentinelNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl.AbstractSentinelNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl.StartNodeImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl.StartNodeImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl.EndNodeImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl.EndNodeImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,Event,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NUMBER_OF_ATTEMPTS; COMMA_AND_WHITESPACE_REGEX; MEDALS; eventName; numberOfAthletes; distanceEvents
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ListEmptyException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ListException
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ListTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: thrown
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,SortedListImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ArrayListImpl; SortedList
ftes_de.ftes.uon.seng2200.pa2,(default package),PA2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
