Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayList,prepend,0,1,1,10,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayList,append,0,1,1,15,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayList,insertBefore,0,1,2,20,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayList,put,0,1,2,27,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,ArrayListImpl,4,1,0,235,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,prepend,5,1,1,240,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,append,5,1,1,247,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,find,3,1,1,254,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,insertBefore,10,2,2,261,0,de.ftes.uon.seng2200.pa2.ArrayListImpl,de.ftes.uon.seng2200.pa2.ArrayListImpl
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,put,6,1,2,273,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,pop,10,2,0,281,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,get,3,1,1,293,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,getReversed,3,1,1,298,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,size,3,1,0,303,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,iterator,24,3,0,308,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,hasNext,3,1,0,314,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,next,11,3,0,319,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,remove,3,1,0,333,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ArrayListImpl,toString,8,2,0,340,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceAttempt,DistanceAttempt,5,1,1,20,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceAttempt,DistanceAttempt,5,1,2,26,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceAttempt,getNumberOfAttempt,3,1,0,32,0,,
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceAttempt,getDistance,3,1,0,36,0,,
