Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ListTest,createListThenInsertAndRemoveItems,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ListTest,createListThenInsertAndRemoveItems,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: de.ftes.uon.seng2200.pa2.List.get; de.ftes.uon.seng2200.pa2.List.pop; de.ftes.uon.seng2200.pa2.List.getReversed
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,ListTest,testIterator,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,CheckExpectedOrderTest,testAthleteWithHighestDistanceWins,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,CheckExpectedOrderTest,testBestTwoDistancesAreEqualButhThirdDiffers,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,CheckExpectedOrderTest,testEqualButForOrderOfAttempts,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,CheckExpectedOrderTest,testAllEqualInputOrderWins,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,CompareComputedToExpectedOutputTest,testGivenExample,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,DistanceAttemptTest,isComparisonCorrect,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,PrintOutputForGivenExample,testGivenExample,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,SortedListTest,createListThenInsertAndRemoveItems,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
