Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceEvent,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: de.ftes.uon.seng2200.pa2.DistanceAttempt
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceEvent,Law of Demeter violation,The tool detected the smell in this method (getNthBestDistance) because the method voilates the law of Demeter. The long chain of method invocations is : de.ftes.uon.seng2200.pa2.List.get; de.ftes.uon.seng2200.pa2.DistanceEvent.getSortedDistances
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceEvent,Law of Demeter violation,The tool detected the smell in this method (compareTo) because the method voilates the law of Demeter. The long chain of method invocations is : de.ftes.uon.seng2200.pa2.DistanceAttempt.compareTo; de.ftes.uon.seng2200.pa2.DistanceEvent.getNthBestDistance
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceEvent,Law of Demeter violation,The tool detected the smell in this method (compareTo) because the method voilates the law of Demeter. The long chain of method invocations is : de.ftes.uon.seng2200.pa2.DistanceEvent.getNthBestDistance; de.ftes.uon.seng2200.pa2.DistanceAttempt.getNumberOfAttempt
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,DistanceEvent,Law of Demeter violation,The tool detected the smell in this method (compareTo) because the method voilates the law of Demeter. The long chain of method invocations is : de.ftes.uon.seng2200.pa2.DistanceEvent.getNthBestDistance; de.ftes.uon.seng2200.pa2.DistanceAttempt.getNumberOfAttempt
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2,Event,Law of Demeter violation,The tool detected the smell in this method (Event) because the method voilates the law of Demeter. The long chain of method invocations is : de.ftes.uon.seng2200.pa2.List.get; de.ftes.uon.seng2200.pa2.DistanceEvent.setDistance
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,CheckExpectedOrderTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: de.ftes.uon.seng2200.pa2.Event
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,CheckExpectedOrderTest,Law of Demeter violation,The tool detected the smell in this method (checkOrder) because the method voilates the law of Demeter. The long chain of method invocations is : de.ftes.uon.seng2200.pa2.DistanceEvent.getAthleteName; de.ftes.uon.seng2200.pa2.List.get; de.ftes.uon.seng2200.pa2.Event.getSortedDistanceEvents
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,CheckExpectedOrderTest,Law of Demeter violation,The tool detected the smell in this method (testWinner) because the method voilates the law of Demeter. The long chain of method invocations is : de.ftes.uon.seng2200.pa2.DistanceEvent.getAthleteName; de.ftes.uon.seng2200.pa2.List.get; de.ftes.uon.seng2200.pa2.Event.getSortedDistanceEvents
ftes_de.ftes.uon.seng2200.pa2,de.ftes.uon.seng2200.pa2.test,DistanceAttemptTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: de.ftes.uon.seng2200.pa2.DistanceAttempt
