Project Name,Package Name,Architecture Smell,Cause of the Smell
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.kobic.kobis.utils
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.kobic.kobis.file.csv.obj; org.kobic.kobis.utils; org.kobic.kobis.file.csv.obj
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.kobic.kobis.file.excel.obj; org.kobic.kobis.file.excel.obj.internal; org.kobic.kobis.file.excel.obj
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.kobic.kobis.file.excel.obj
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj.internal,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSheetObj]; [CultureObj]; [DistPatentReferenceObj; DistributionObj; PatentObj; ReferenceObj]; [ExcelWorksheetNameMap]; [ExtractionObj]; [ExtraInfo]; [GpsObj]; [KobisSampleWorkSheet]; [OpenObj]; [SampleObj]; [SequenceObj]; [StoreObj]. LCC (Lack of Component Cohesion) = 0.8
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.kobic.kobis.file.excel.obj.internal; org.kobic.kobis.util; org.kobic.kobis.rule.interpreter; org.kobic.kobis.rule.vo; org.kobic.kobis.file.excel.obj.internal
insoo078_kobis-utils,org.kobic.kobis.main.dao,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.kobic.kobis.main.mapper
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 244
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Antrl4Test; RuleBaseListener; RuleLexer; RuleListener; RuleParser; RuleParser.LiteralContext; RuleParser.ClassTypeContext; RuleParser.ClassType_lf_classOrInterfaceTypeContext; RuleParser.ClassType_lfno_classOrInterfaceTypeContext; RuleParser.TypeVariableContext; RuleParser.TypeParameterContext; RuleParser.PackageNameContext; RuleParser.TypeNameContext; RuleParser.PackageOrTypeNameContext; RuleParser.ExpressionNameContext; RuleParser.MethodNameContext; RuleParser.AmbiguousNameContext; RuleParser.PackageDeclarationContext; RuleParser.SingleStaticImportDeclarationContext; RuleParser.NormalClassDeclarationContext; RuleParser.VariableDeclaratorIdContext; RuleParser.UnannClassTypeContext; RuleParser.UnannClassType_lf_unannClassOrInterfaceTypeContext; RuleParser.UnannClassType_lfno_unannClassOrInterfaceTypeContext; RuleParser.UnannTypeVariableContext; RuleParser.MethodDeclaratorContext; RuleParser.ReceiverParameterContext; RuleParser.SimpleTypeNameContext; RuleParser.EnumDeclarationContext; RuleParser.EnumConstantContext; RuleParser.NormalInterfaceDeclarationContext; RuleParser.AnnotationTypeDeclarationContext; RuleParser.AnnotationTypeElementDeclarationContext; RuleParser.ElementValuePairContext; RuleParser.LabeledStatementContext; RuleParser.LabeledStatementNoShortIfContext; RuleParser.EnumConstantNameContext; RuleParser.BreakStatementContext; RuleParser.ContinueStatementContext; RuleParser.ClassInstanceCreationExpressionContext; RuleParser.ClassInstanceCreationExpression_lf_primaryContext; RuleParser.ClassInstanceCreationExpression_lfno_primaryContext; RuleParser.FieldAccessContext; RuleParser.FieldAccess_lf_primaryContext; RuleParser.FieldAccess_lfno_primaryContext; RuleParser.MethodInvocationContext; RuleParser.MethodInvocation_lf_primaryContext; RuleParser.MethodInvocation_lfno_primaryContext; RuleParser.MethodReferenceContext; RuleParser.MethodReference_lf_primaryContext; RuleParser.MethodReference_lfno_primaryContext; RuleParser.LambdaParametersContext; RuleParser.InferredFormalParameterListContext; RuleVisitor; RuleBaseVisitor]; [RuleParser.TypeContext]; [RuleParser.PrimitiveTypeContext]; [RuleParser.NumericTypeContext]; [RuleParser.IntegralTypeContext]; [RuleParser.FloatingPointTypeContext]; [RuleParser.ReferenceTypeContext]; [RuleParser.ClassOrInterfaceTypeContext]; [RuleParser.InterfaceTypeContext]; [RuleParser.InterfaceType_lf_classOrInterfaceTypeContext]; [RuleParser.InterfaceType_lfno_classOrInterfaceTypeContext]; [RuleParser.ArrayTypeContext]; [RuleParser.DimsContext]; [RuleParser.TypeParameterModifierContext]; [RuleParser.TypeBoundContext]; [RuleParser.AdditionalBoundContext]; [RuleParser.TypeArgumentsContext]; [RuleParser.TypeArgumentListContext]; [RuleParser.TypeArgumentContext]; [RuleParser.WildcardContext]; [RuleParser.WildcardBoundsContext]; [RuleParser.CompilationUnitContext]; [RuleParser.PackageModifierContext]; [RuleParser.ImportDeclarationContext]; [RuleParser.SingleTypeImportDeclarationContext]; [RuleParser.TypeImportOnDemandDeclarationContext]; [RuleParser.StaticImportOnDemandDeclarationContext]; [RuleParser.TypeDeclarationContext]; [RuleParser.ClassDeclarationContext]; [RuleParser.ClassModifierContext]; [RuleParser.TypeParametersContext]; [RuleParser.TypeParameterListContext]; [RuleParser.SuperclassContext]; [RuleParser.SuperinterfacesContext]; [RuleParser.InterfaceTypeListContext]; [RuleParser.ClassBodyContext]; [RuleParser.ClassBodyDeclarationContext]; [RuleParser.ClassMemberDeclarationContext]; [RuleParser.FieldDeclarationContext]; [RuleParser.FieldModifierContext]; [RuleParser.VariableDeclaratorListContext]; [RuleParser.VariableDeclaratorContext]; [RuleParser.VariableInitializerContext]; [RuleParser.UnannTypeContext]; [RuleParser.UnannPrimitiveTypeContext]; [RuleParser.UnannReferenceTypeContext]; [RuleParser.UnannClassOrInterfaceTypeContext]; [RuleParser.UnannInterfaceTypeContext]; [RuleParser.UnannInterfaceType_lf_unannClassOrInterfaceTypeContext]; [RuleParser.UnannInterfaceType_lfno_unannClassOrInterfaceTypeContext]; [RuleParser.UnannArrayTypeContext]; [RuleParser.MethodDeclarationContext]; [RuleParser.MethodModifierContext]; [RuleParser.MethodHeaderContext]; [RuleParser.ResultContext]; [RuleParser.FormalParameterListContext]; [RuleParser.FormalParametersContext]; [RuleParser.FormalParameterContext]; [RuleParser.VariableModifierContext]; [RuleParser.LastFormalParameterContext]; [RuleParser.Throws_Context]; [RuleParser.ExceptionTypeListContext]; [RuleParser.ExceptionTypeContext]; [RuleParser.MethodBodyContext]; [RuleParser.InstanceInitializerContext]; [RuleParser.StaticInitializerContext]; [RuleParser.ConstructorDeclarationContext]; [RuleParser.ConstructorModifierContext]; [RuleParser.ConstructorDeclaratorContext]; [RuleParser.ConstructorBodyContext]; [RuleParser.ExplicitConstructorInvocationContext]; [RuleParser.EnumBodyContext]; [RuleParser.EnumConstantListContext]; [RuleParser.EnumConstantModifierContext]; [RuleParser.EnumBodyDeclarationsContext]; [RuleParser.InterfaceDeclarationContext]; [RuleParser.InterfaceModifierContext]; [RuleParser.ExtendsInterfacesContext]; [RuleParser.InterfaceBodyContext]; [RuleParser.InterfaceMemberDeclarationContext]; [RuleParser.ConstantDeclarationContext]; [RuleParser.ConstantModifierContext]; [RuleParser.InterfaceMethodDeclarationContext]; [RuleParser.InterfaceMethodModifierContext]; [RuleParser.AnnotationTypeBodyContext]; [RuleParser.AnnotationTypeMemberDeclarationContext]; [RuleParser.AnnotationTypeElementModifierContext]; [RuleParser.DefaultValueContext]; [RuleParser.AnnotationContext]; [RuleParser.NormalAnnotationContext]; [RuleParser.ElementValuePairListContext]; [RuleParser.ElementValueContext]; [RuleParser.ElementValueArrayInitializerContext]; [RuleParser.ElementValueListContext]; [RuleParser.MarkerAnnotationContext]; [RuleParser.SingleElementAnnotationContext]; [RuleParser.ArrayInitializerContext]; [RuleParser.VariableInitializerListContext]; [RuleParser.BlockContext]; [RuleParser.BlockStatementsContext]; [RuleParser.BlockStatementContext]; [RuleParser.LocalVariableDeclarationStatementContext]; [RuleParser.LocalVariableDeclarationContext]; [RuleParser.StatementContext]; [RuleParser.StatementNoShortIfContext]; [RuleParser.StatementWithoutTrailingSubstatementContext]; [RuleParser.EmptyStatementContext]; [RuleParser.ExpressionStatementContext]; [RuleParser.StatementExpressionContext]; [RuleParser.IfThenStatementContext]; [RuleParser.IfThenElseStatementContext]; [RuleParser.IfThenElseStatementNoShortIfContext]; [RuleParser.AssertStatementContext]; [RuleParser.SwitchStatementContext]; [RuleParser.SwitchBlockContext]; [RuleParser.SwitchBlockStatementGroupContext]; [RuleParser.SwitchLabelsContext]; [RuleParser.SwitchLabelContext]; [RuleParser.WhileStatementContext]; [RuleParser.WhileStatementNoShortIfContext]; [RuleParser.DoStatementContext]; [RuleParser.ForStatementContext]; [RuleParser.ForStatementNoShortIfContext]; [RuleParser.BasicForStatementContext]; [RuleParser.BasicForStatementNoShortIfContext]; [RuleParser.ForInitContext]; [RuleParser.ForUpdateContext]; [RuleParser.StatementExpressionListContext]; [RuleParser.EnhancedForStatementContext]; [RuleParser.EnhancedForStatementNoShortIfContext]; [RuleParser.ReturnStatementContext]; [RuleParser.ThrowStatementContext]; [RuleParser.SynchronizedStatementContext]; [RuleParser.TryStatementContext]; [RuleParser.CatchesContext]; [RuleParser.CatchClauseContext]; [RuleParser.CatchFormalParameterContext]; [RuleParser.CatchTypeContext]; [RuleParser.Finally_Context]; [RuleParser.TryWithResourcesStatementContext]; [RuleParser.ResourceSpecificationContext]; [RuleParser.ResourceListContext]; [RuleParser.ResourceContext]; [RuleParser.PrimaryContext]; [RuleParser.PrimaryNoNewArrayContext]; [RuleParser.PrimaryNoNewArray_lf_arrayAccessContext]; [RuleParser.PrimaryNoNewArray_lfno_arrayAccessContext]; [RuleParser.PrimaryNoNewArray_lf_primaryContext]; [RuleParser.PrimaryNoNewArray_lf_primary_lf_arrayAccess_lf_primaryContext]; [RuleParser.PrimaryNoNewArray_lf_primary_lfno_arrayAccess_lf_primaryContext]; [RuleParser.PrimaryNoNewArray_lfno_primaryContext]; [RuleParser.PrimaryNoNewArray_lfno_primary_lf_arrayAccess_lfno_primaryContext]; [RuleParser.PrimaryNoNewArray_lfno_primary_lfno_arrayAccess_lfno_primaryContext]; [RuleParser.TypeArgumentsOrDiamondContext]; [RuleParser.ArrayAccessContext]; [RuleParser.ArrayAccess_lf_primaryContext]; [RuleParser.ArrayAccess_lfno_primaryContext]; [RuleParser.ArgumentListContext]; [RuleParser.ArrayCreationExpressionContext]; [RuleParser.DimExprsContext]; [RuleParser.DimExprContext]; [RuleParser.ConstantExpressionContext]; [RuleParser.ExpressionContext]; [RuleParser.LambdaExpressionContext]; [RuleParser.LambdaBodyContext]; [RuleParser.AssignmentExpressionContext]; [RuleParser.AssignmentContext]; [RuleParser.LeftHandSideContext]; [RuleParser.AssignmentOperatorContext]; [RuleParser.ConditionalExpressionContext]; [RuleParser.ConditionalOrExpressionContext]; [RuleParser.ConditionalAndExpressionContext]; [RuleParser.InclusiveOrExpressionContext]; [RuleParser.ExclusiveOrExpressionContext]; [RuleParser.AndExpressionContext]; [RuleParser.EqualityExpressionContext]; [RuleParser.RelationalExpressionContext]; [RuleParser.ShiftExpressionContext]; [RuleParser.AdditiveExpressionContext]; [RuleParser.MultiplicativeExpressionContext]; [RuleParser.UnaryExpressionContext]; [RuleParser.PreIncrementExpressionContext]; [RuleParser.PreDecrementExpressionContext]; [RuleParser.UnaryExpressionNotPlusMinusContext]; [RuleParser.PostfixExpressionContext]; [RuleParser.PostIncrementExpressionContext]; [RuleParser.PostIncrementExpression_lf_postfixExpressionContext]; [RuleParser.PostDecrementExpressionContext]; [RuleParser.PostDecrementExpression_lf_postfixExpressionContext]; [RuleParser.CastExpressionContext]. LCC (Lack of Component Cohesion) = 0.78
insoo078_kobis-utils,org.kobic.kobis.rule.interpreter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Functions; KeywordDictionary; LexicalInterpreter]; [Tokenizer]; [Tokenizer.Token]; [Tokenizer.TokenInfo]. LCC (Lack of Component Cohesion) = 0.67
