Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
insoo078_kobis-utils,org.kobic.kobis.common.dao,CommonDAOService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
insoo078_kobis-utils,org.kobic.kobis.common.services,AbstractCommonServices,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: KobisCate; CateObj
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 65 public methods
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,GbifObj,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,NcbiTaxonomyNameObj,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,DistPatentReferenceInterface,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: XBodyFluidSheetObj; XCellStrainSheetObj; XDnaRnaProteinDerivativesSheetObj; XEmbryoSheetObj; XEtcSheetObj; XExtractSheetObj; XIndividualSheetObj; XObservationSheetObj; XOrganSheetObj; XSeedSheetObj; XSourceSheetObj; XSpecimenSheetObj; XStrainSheetObj
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XCellStrainSheetObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XCommonSheetObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 51 public methods
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XDnaRnaProteinDerivativesSheetObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XDnaSequenceSheetObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XExpressionSheetObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XProteinSequenceSheetObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XSpecimenSheetObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 35 public methods
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XStrainSheetObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XStructureSheetObj,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj.internal,ExtraInfo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: extraMap
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj.internal,KobisSampleWorkSheet,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: common
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj.internal,KobisSampleWorkSheet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
insoo078_kobis-utils,org.kobic.kobis.knnrrc.vo,KnnrrcVO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 42 public methods
insoo078_kobis-utils,org.kobic.kobis.main.dao,KobisDAO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
insoo078_kobis-utils,org.kobic.kobis.main.dao,KobisDAOService,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods
insoo078_kobis-utils,org.kobic.kobis.main.mapper,KobisMapper,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 49 public methods
