Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,unMappedProc,Complex Method,Cyclomatic complexity of the method is 18,82
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,initCntMap,Long Statement,The length of the statement "String[] names=new String[]{"DNA/RNA/Protein 유래물"`"개체"`"관찰"`"구조정보"`"균주"`"기타"`"단백질서열정보"`"발현정보"`"배아"`"세포주"`"조직"`"종자"`"체액"`"추출물"`"표본"`"핵산서열정보"};" is 141.,159
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,getNewCount,Magic Number,The method contains a magic number: 10,184
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,mappedProc,Complex Method,Cyclomatic complexity of the method is 18,191
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,mappedProc,Long Method,The method has 120 lines of code.,191
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,read2,Magic Number,The method contains a magic number: 1000,302
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,read2,Magic Number,The method contains a magic number: 500,302
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,read2,Magic Number,The method contains a magic number: 500,302
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,read,Magic Number,The method contains a magic number: 1000,368
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,read3,Magic Number,The method contains a magic number: 1000,417
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,read3,Magic Number,The method contains a magic number: 500,417
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Long Statement,The length of the statement "return this.code + "`" + this.code.substring(0`2)+ "`"+ this.code.substring(0`4)+ "`"+ this.code.substring(0`6)+ "`"+ this.code.substring(0`8)+ "`"+ this.code.substring(0`10)+ "`"+ this.code.substring(0`12)+ "`"+ this.code.substring(0`14)+ "`"+ this.code.substring(0`16)+ "`"+ this.code.substring(0`18);" is 303.,342
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Magic Number,The method contains a magic number: 2,342
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Magic Number,The method contains a magic number: 4,342
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Magic Number,The method contains a magic number: 6,342
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Magic Number,The method contains a magic number: 8,342
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Magic Number,The method contains a magic number: 10,342
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Magic Number,The method contains a magic number: 12,342
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Magic Number,The method contains a magic number: 14,342
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Magic Number,The method contains a magic number: 16,342
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCodeLine,Magic Number,The method contains a magic number: 18,342
