Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
insoo078_kobis-utils,junit.test,KobisDAOTest,setUp,3,1,0,14,0,,
insoo078_kobis-utils,junit.test,KobisDAOTest,test,3,1,0,19,1,,
insoo078_kobis-utils,junit.test.main,KobisDAOServiceTest,setUpBeforeClass,2,1,0,23,0,,
insoo078_kobis-utils,junit.test.main,KobisDAOServiceTest,tearDownAfterClass,2,1,0,27,0,,
insoo078_kobis-utils,junit.test.main,KobisDAOServiceTest,setUp,3,1,0,31,0,,
insoo078_kobis-utils,junit.test.main,KobisDAOServiceTest,tearDown,2,1,0,36,0,,
insoo078_kobis-utils,junit.test.main,KobisDAOServiceTest,test,29,1,0,40,1,,
insoo078_kobis-utils,junit.test.rule,LexicalInterpreterTest,test,6,1,0,11,1,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getCommon,0,1,2,27,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getCellStrain,0,1,1,28,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getBodyFluid,0,1,1,29,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getDnaRnaProteinDerivatives,0,1,1,30,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getDnaSequence,0,1,1,31,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getEmbryo,0,1,1,32,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getEtc,0,1,1,33,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getExpression,0,1,1,34,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getExtraction,0,1,1,35,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getIndividual,0,1,1,36,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getObservation,0,1,1,37,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getOrgan,0,1,1,38,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getProteinSequence,0,1,1,39,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getSeed,0,1,1,40,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getSource,0,1,1,41,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getSpecimen,0,1,1,42,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getStrain,0,1,1,43,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getStructure,0,1,1,44,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,getTotalCount,0,1,0,46,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,BrisDAOService,3,1,1,34,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getTotalCount,5,1,0,38,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getCommon,9,1,2,47,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getCellStrain,7,1,1,61,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getBodyFluid,7,1,1,73,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getDnaRnaProteinDerivatives,7,1,1,85,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getDnaSequence,7,1,1,97,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getEmbryo,7,1,1,109,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getEtc,7,1,1,121,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getExpression,7,1,1,133,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getExtraction,7,1,1,145,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getIndividual,7,1,1,157,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getObservation,7,1,1,169,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getOrgan,7,1,1,181,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getProteinSequence,7,1,1,193,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getSeed,7,1,1,205,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getSource,7,1,1,217,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getSpecimen,7,1,1,229,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getStrain,7,1,1,241,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,getStructure,7,1,1,253,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getCommon,0,1,1,26,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getCellStrain,0,1,1,27,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getBodyFluid,0,1,1,28,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getDnaRnaProteinDerivatives,0,1,1,29,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getDnaSequence,0,1,1,30,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getEmbryo,0,1,1,31,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getEtc,0,1,1,32,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getExpression,0,1,1,33,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getExtraction,0,1,1,34,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getIndividual,0,1,1,35,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getObservation,0,1,1,36,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getOrgan,0,1,1,37,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getProteinSequence,0,1,1,38,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getSeed,0,1,1,39,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getSource,0,1,1,40,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getSpecimen,0,1,1,41,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getStrain,0,1,1,42,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getStructure,0,1,1,43,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,getTotalCount,0,1,0,45,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,BrisServices,6,1,2,55,0,org.kobic.kobis.bris.services.BrisServices,org.kobic.kobis.bris.services.BrisServices
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,initPrefixMap,18,1,0,63,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,unMappedProc,89,18,1,82,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,initCntMap,8,2,0,159,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,getNewCount,5,1,2,184,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,mappedProc,120,18,1,191,0,org.kobic.kobis.bris.services.BrisServices,org.kobic.kobis.bris.services.BrisServices
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,read2,50,7,0,302,0,,
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,read,25,3,0,368,0,org.kobic.kobis.bris.services.BrisServices,org.kobic.kobis.bris.services.BrisServices
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,read3,33,4,0,417,0,,
insoo078_kobis-utils,org.kobic.kobis.common.dao,CommonDAOService,CommonDAOService,3,1,1,8,0,,
insoo078_kobis-utils,org.kobic.kobis.common.dao,CommonDAOService,getSessionFactory,3,1,0,12,0,,
insoo078_kobis-utils,org.kobic.kobis.common.services,AbstractCommonServices,AbstractCommonServices,6,1,2,14,0,org.kobic.kobis.common.services.AbstractCommonServices,org.kobic.kobis.common.services.AbstractCommonServices
insoo078_kobis-utils,org.kobic.kobis.common.services,AbstractCommonServices,getSessionFactory,3,1,0,22,0,,
insoo078_kobis-utils,org.kobic.kobis.common.services,AbstractCommonServices,setSessionFactory,3,1,1,26,0,,
insoo078_kobis-utils,org.kobic.kobis.common.services,AbstractCommonServices,getInsCd,3,1,0,30,0,,
insoo078_kobis-utils,org.kobic.kobis.common.services,AbstractCommonServices,setInsCd,3,1,1,34,0,,
insoo078_kobis-utils,org.kobic.kobis.common.services,AbstractCommonServices,getKobisService,3,1,0,38,0,,
insoo078_kobis-utils,org.kobic.kobis.common.services,AbstractCommonServices,getUnmapService,3,1,0,42,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,CateObj,3,1,0,29,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getCode,3,1,0,34,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setCode,3,1,1,39,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getKingdom_kor,3,1,0,44,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setKingdom_kor,3,1,1,49,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getKingdom_eng,3,1,0,54,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setKingdom_eng,3,1,1,59,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setKingdom,5,1,1,63,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getKingdom,3,1,0,69,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getPhylum_kor,3,1,0,73,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setPhylum_kor,3,1,1,78,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getPhylum_eng,3,1,0,83,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setPhylum_eng,3,1,1,88,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setPhylum,5,1,1,92,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getPhylum,3,1,0,98,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getClas_kor,3,1,0,103,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setClas_kor,3,1,1,108,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getClas_eng,3,1,0,113,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setClas_eng,3,1,1,118,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setClas,5,1,1,122,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getClas,3,1,0,128,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getOrder_kor,3,1,0,133,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setOrder_kor,3,1,1,138,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getOrder_eng,3,1,0,143,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setOrder_eng,3,1,1,148,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setOrder,5,1,1,152,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getOrder,3,1,0,158,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getFamily_kor,3,1,0,163,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setFamily_kor,3,1,1,168,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getFamily_eng,3,1,0,173,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setFamily_eng,3,1,1,178,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setFamily,5,1,1,182,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getFamily,3,1,0,188,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getGenus_kor,3,1,0,193,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setGenus_kor,3,1,1,198,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getGenus_eng,3,1,0,203,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setGenus_eng,3,1,1,208,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,setGenus,5,1,1,212,0,,
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,getGenus,3,1,0,218,0,,
