Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
insoo078_kobis-utils,junit.test,KobisDAOTest,1,0,2,2,9,2,0,0,1.0,0,2,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\junit\test\KobisDAOTest.java,11
insoo078_kobis-utils,junit.test.main,KobisDAOServiceTest,1,0,5,5,41,5,0,0,0.8,0,9,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\junit\test\main\KobisDAOServiceTest.java,20
insoo078_kobis-utils,junit.test.rule,LexicalInterpreterTest,1,0,1,1,9,1,0,0,0.0,0,3,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\junit\test\rule\LexicalInterpreterTest.java,8
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAO,0,0,19,19,21,19,1,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\bris\dao\BrisDAO.java,26
insoo078_kobis-utils,org.kobic.kobis.bris.dao,BrisDAOService,1,0,20,20,139,20,0,1,1.0,1,1,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\bris\dao\BrisDAOService.java,31
insoo078_kobis-utils,org.kobic.kobis.bris.mapper,BrisMapper,0,0,19,19,21,19,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\bris\mapper\BrisMapper.java,25
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,3,0,9,6,359,55,0,0,0.0,1,35,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\bris\services\BrisServices.java,48
insoo078_kobis-utils,org.kobic.kobis.common.dao,CommonDAOService,1,0,2,2,9,2,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\common\dao\CommonDAOService.java,5
insoo078_kobis-utils,org.kobic.kobis.common.services,AbstractCommonServices,4,0,7,7,30,7,0,0,0.0,0,2,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\common\services\AbstractCommonServices.java,7
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,CateObj,21,0,65,65,238,65,0,0,0.0,1,2,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\csv\obj\CateObj.java,5
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,GbifObj,9,0,19,19,79,21,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\csv\obj\GbifObj.java,3
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,NameObj,2,0,3,3,14,3,0,0,0.0,1,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\csv\obj\NameObj.java,3
insoo078_kobis-utils,org.kobic.kobis.file.csv.obj,NcbiTaxonomyNameObj,4,0,9,9,38,10,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\csv\obj\NcbiTaxonomyNameObj.java,3
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,DistPatentReferenceInterface,0,0,5,5,7,5,13,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\DistPatentReferenceInterface.java,3
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,OpenPatentReferenceInterface,0,0,5,5,7,5,3,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\OpenPatentReferenceInterface.java,3
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,SequenceOpenPatentReferenceInterface,0,0,8,8,10,8,1,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\SequenceOpenPatentReferenceInterface.java,3
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XBodyFluidSheetObj,4,0,17,17,91,32,0,1,0.0,7,3,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XBodyFluidSheetObj.java,10
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XCellStrainSheetObj,6,0,21,21,110,38,0,1,0.0,6,3,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XCellStrainSheetObj.java,10
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XCommonSheetObj,23,0,51,51,251,76,0,0,0.0,3,0,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XCommonSheetObj.java,6
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XDnaRnaProteinDerivativesSheetObj,6,0,21,21,108,37,0,1,0.0,7,3,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XDnaRnaProteinDerivativesSheetObj.java,10
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XDnaSequenceSheetObj,9,0,29,29,129,46,0,1,0.10344827586206896,7,4,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XDnaSequenceSheetObj.java,11
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XEmbryoSheetObj,3,0,15,15,73,25,0,1,0.0,7,2,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XEmbryoSheetObj.java,9
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XEtcSheetObj,3,0,15,15,75,27,0,1,0.0,7,2,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XEtcSheetObj.java,9
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XExpressionSheetObj,7,0,22,22,99,35,0,1,0.09090909090909091,7,3,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XExpressionSheetObj.java,10
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XExtractSheetObj,3,0,15,15,75,27,0,1,0.0,7,2,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XExtractSheetObj.java,9
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XIndividualSheetObj,3,0,15,15,72,25,0,1,0.0,7,1,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XIndividualSheetObj.java,8
insoo078_kobis-utils,org.kobic.kobis.file.excel.obj,XObservationSheetObj,2,0,12,12,61,23,0,1,0.0,9,2,E:\Repositories\Cloned_Reposit\insoo078_kobis-utils\KobisUtils\src\org\kobic\kobis\file\excel\obj\XObservationSheetObj.java,9
