Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomScaleAnimation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomScaleAnimation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CustomAnimation
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomSlideAnimation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomSlideAnimation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CustomAnimation
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomZoomAnimation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomZoomAnimation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CustomAnimation
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,AttachExample,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,ExampleListActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,LeftAndRightActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,PropertiesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,SampleListFragment,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: tag; iconRes
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,SampleListFragment.SampleItem,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: tag; iconRes
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,SampleListFragment.SampleItem,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,SampleListFragment.SampleItem,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: tag; iconRes
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,SampleListFragment.SampleAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,SampleListFragment.SampleAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,SlidingContent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,SlidingTitleBar,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,ViewPagerActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,ViewPagerActivity,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: onCreate
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,ViewPagerActivity.ColorPagerAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mFragments; COLORS
