Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomAnimation,CustomAnimation,4,1,2,19,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomAnimation,onCreate,9,1,1,24,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomScaleAnimation,CustomScaleAnimation,8,1,0,11,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomScaleAnimation,transformCanvas,3,1,2,13,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomSlideAnimation,getInterpolation,4,1,1,13,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomSlideAnimation,CustomSlideAnimation,8,1,0,20,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomSlideAnimation,transformCanvas,3,1,2,24,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomZoomAnimation,CustomZoomAnimation,9,1,0,11,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example.anim,CustomZoomAnimation,transformCanvas,4,1,2,15,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,AttachExample,onCreate,15,1,1,12,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,AttachExample,onBackPressed,8,2,0,40,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,BaseActivity,BaseActivity,3,1,1,24,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,BaseActivity,onCreate,21,2,1,28,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,BaseActivity,onOptionsItemSelected,11,3,1,56,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,BaseActivity,onCreateOptionsMenu,4,1,1,69,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,ExampleListActivity,onCreate,5,1,1,33,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,ExampleListActivity,onPreferenceTreeClick,40,12,2,42,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,ExampleListActivity,onOptionsItemSelected,25,5,1,74,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,ExampleListActivity,onCreateOptionsMenu,4,1,1,107,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,LeftAndRightActivity,LeftAndRightActivity,3,1,0,16,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,LeftAndRightActivity,onCreate,10,1,1,20,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,PropertiesActivity,PropertiesActivity,3,1,0,18,0,,
jfeinstein10_SlidingMenu,com.jeremyfeinstein.slidingmenu.example,PropertiesActivity,onCreate,121,8,1,22,0,,
