Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jipson7_sortingComparison-ScalaVsJava,bubblesort,Sort,compare,3,1,2,9,0,,
jipson7_sortingComparison-ScalaVsJava,bubblesort,Sort,Sort,3,1,0,15,0,,
jipson7_sortingComparison-ScalaVsJava,bubblesort,Sort,toString,8,2,0,21,0,,
jipson7_sortingComparison-ScalaVsJava,bubblesort,Sort,MainSort,17,4,0,38,0,bubblesort.Sort,bubblesort.Sort
jipson7_sortingComparison-ScalaVsJava,(default package),Main,main,36,1,1,8,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,runFloatTestBubble,12,2,2,85,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,runIntegerTestBubble,12,2,2,107,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,runStringTestBubble,11,2,2,127,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,runFloatTestMerge,12,2,2,147,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,runIntegerTestMerge,12,2,2,169,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,runStringTestMerge,11,2,2,189,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,runFloatTestQuick,12,2,2,209,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,runIntegerTestQuick,12,2,2,231,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,runStringTestQuick,11,2,2,251,0,,
jipson7_sortingComparison-ScalaVsJava,(default package),Main,getRandString,12,2,0,271,0,,
jipson7_sortingComparison-ScalaVsJava,mergesort,Sort,compare,3,1,2,11,0,,
jipson7_sortingComparison-ScalaVsJava,mergesort,Sort,Sort,3,1,0,17,0,,
jipson7_sortingComparison-ScalaVsJava,mergesort,Sort,toString,8,2,0,23,0,,
jipson7_sortingComparison-ScalaVsJava,mergesort,Sort,MainSort,5,1,0,40,0,mergesort.Sort,mergesort.Sort
jipson7_sortingComparison-ScalaVsJava,mergesort,Sort,MergeSort,8,2,2,50,0,mergesort.Sort,mergesort.Sort
jipson7_sortingComparison-ScalaVsJava,mergesort,Sort,MergeLists,24,5,3,66,0,mergesort.Sort,mergesort.Sort
jipson7_sortingComparison-ScalaVsJava,quicksort,Sort,compare,3,1,2,9,0,,
jipson7_sortingComparison-ScalaVsJava,quicksort,Sort,Sort,3,1,0,15,0,,
jipson7_sortingComparison-ScalaVsJava,quicksort,Sort,toString,8,2,0,21,0,,
jipson7_sortingComparison-ScalaVsJava,quicksort,Sort,MainSort,7,2,0,38,0,quicksort.Sort,quicksort.Sort
jipson7_sortingComparison-ScalaVsJava,quicksort,Sort,QuickSort,24,7,2,53,0,quicksort.Sort,quicksort.Sort
jipson7_sortingComparison-ScalaVsJava,quicksort,Sort,swap,5,1,2,99,0,,
