Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
kennethlim206_worldFrequencyCalculator,(default package),Dictionary,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kennethlim206_worldFrequencyCalculator,(default package),DictPair,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: hashTable; num_entries; table_size; DEFAULT_SIZE; PRIMES; MAX_LOAD_FACTOR; key; value; next_node; set; key; value
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: key; value; next_node
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation.Node,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: key; value; next_node
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation.JavaSetWrapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: set
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation.JavaSetWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation.KVPair,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: key; value
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation.KVPair,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kennethlim206_worldFrequencyCalculator,(default package),Set,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kennethlim206_worldFrequencyCalculator,(default package),WordFreqs,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
kennethlim206_worldFrequencyCalculator,(default package),WordFreqs.KVPair,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: key; value
kennethlim206_worldFrequencyCalculator,(default package),WordFreqs.KVPair,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
