Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation,rehash,Magic Number,The method contains a magic number: 2,157
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation,main,Complex Method,Cyclomatic complexity of the method is 11,413
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation,main,Magic Number,The method contains a magic number: 14,413
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation,main,Magic Number,The method contains a magic number: 15,413
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation,main,Magic Number,The method contains a magic number: 15,413
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation,main,Magic Number,The method contains a magic number: 14,413
kennethlim206_worldFrequencyCalculator,(default package),HashDictionaryImplementation,main,Magic Number,The method contains a magic number: 14,413
kennethlim206_worldFrequencyCalculator,(default package),WordFreqs,printTopTwenty,Magic Number,The method contains a magic number: 20,44
kennethlim206_worldFrequencyCalculator,(default package),WordFreqs,printTopTwenty,Magic Number,The method contains a magic number: 20,44
kennethlim206_worldFrequencyCalculator,(default package),WordFreqs,printTopTwenty,Magic Number,The method contains a magic number: 20,44
kennethlim206_worldFrequencyCalculator,(default package),WordFreqs,printTopTwenty,Magic Number,The method contains a magic number: 21,44
kennethlim206_worldFrequencyCalculator,(default package),WordFreqs,main,Complex Method,Cyclomatic complexity of the method is 13,137
