Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
klcathy_CS144,(default package),ComputeSHA,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
klcathy_CS144,edu.ucla.cs.cs144,Item,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
klcathy_CS144,edu.ucla.cs.cs144,Item.ItemCategory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: itemId; categories
klcathy_CS144,edu.ucla.cs.cs144,Item.ItemCategory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
klcathy_CS144,edu.ucla.cs.cs144,Item.User,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: userId; rating
klcathy_CS144,edu.ucla.cs.cs144,Item.User,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
klcathy_CS144,edu.ucla.cs.cs144,Item.Bidder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: location; country
klcathy_CS144,edu.ucla.cs.cs144,Item.Bidder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
klcathy_CS144,edu.ucla.cs.cs144,Item.Bid,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: itemId; bidderId; time; amount
klcathy_CS144,edu.ucla.cs.cs144,Item.Bid,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
klcathy_CS144,edu.ucla.cs.cs144,Item.MyParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
klcathy_CS144,edu.ucla.cs.cs144,Item.MyParser,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: columnSeparator; builder; sellerHT; bidderHT; bidList; maxDescriptionLength; typeName
klcathy_CS144,edu.ucla.cs.cs144,Item.MyErrorHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
klcathy_CS144,edu.ucla.cs.cs144,Item.MyErrorHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
klcathy_CS144,edu.ucla.cs.cs144,MyParserPrint,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
