Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
klcathy_CS144,(default package),ComputeSHA,ComputeSHA,8,1,0,9,0,,
klcathy_CS144,(default package),ComputeSHA,parseFile,13,2,1,17,0,,
klcathy_CS144,(default package),ComputeSHA,printSHA,8,2,0,31,0,,
klcathy_CS144,(default package),ComputeSHA,main,14,2,1,43,0,,
klcathy_CS144,edu.ucla.cs.cs144,Item,Item,3,1,1,62,0,,
klcathy_CS144,edu.ucla.cs.cs144,Item,setRequiredAttributes,11,1,9,66,0,,
klcathy_CS144,edu.ucla.cs.cs144,Item,setLatitudeLongitude,4,1,2,80,0,,
klcathy_CS144,edu.ucla.cs.cs144,Item,setBuyPrice,3,1,1,85,0,,
klcathy_CS144,edu.ucla.cs.cs144,Item,setSellerID,3,1,1,89,0,,
klcathy_CS144,edu.ucla.cs.cs144,Item,toString,6,1,0,93,0,,
klcathy_CS144,edu.ucla.cs.cs144,MyParserPrint,getElementsByTagNameNR,13,3,2,89,0,,
klcathy_CS144,edu.ucla.cs.cs144,MyParserPrint,getElementByTagNameNR,8,3,2,107,0,,
klcathy_CS144,edu.ucla.cs.cs144,MyParserPrint,getElementText,7,2,1,120,0,,
klcathy_CS144,edu.ucla.cs.cs144,MyParserPrint,getElementTextByTagNameNR,5,2,2,133,0,edu.ucla.cs.cs144.MyParserPrint,edu.ucla.cs.cs144.MyParserPrint
klcathy_CS144,edu.ucla.cs.cs144,MyParserPrint,strip,16,2,1,144,0,,
klcathy_CS144,edu.ucla.cs.cs144,MyParserPrint,processFile,18,1,1,163,0,edu.ucla.cs.cs144.MyParserPrint,edu.ucla.cs.cs144.MyParserPrint
klcathy_CS144,edu.ucla.cs.cs144,MyParserPrint,recursiveDescent,11,5,2,192,0,edu.ucla.cs.cs144.MyParserPrint,edu.ucla.cs.cs144.MyParserPrint
klcathy_CS144,edu.ucla.cs.cs144,MyParserPrint,main,25,3,1,217,0,edu.ucla.cs.cs144.MyParserPrint,edu.ucla.cs.cs144.MyParserPrint
klcathy_CS144,edu.ucla.cs.cs144,AuctionSearchClient,basicSearch,17,1,3,20,0,,
klcathy_CS144,edu.ucla.cs.cs144,AuctionSearchClient,spatialSearch,17,1,4,40,0,,
klcathy_CS144,edu.ucla.cs.cs144,AuctionSearchClient,getXMLDataForItemId,17,1,1,60,0,,
klcathy_CS144,edu.ucla.cs.cs144,AuctionSearchClient,echo,17,1,1,78,0,,
klcathy_CS144,edu.ucla.cs.cs144,AuctionSearchTest,main,50,3,1,11,0,edu.ucla.cs.cs144.AuctionSearchClient,edu.ucla.cs.cs144.AuctionSearchClient; edu.ucla.cs.cs144.SearchResult
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,SearchRegion,2,1,0,12,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,SearchRegion,6,1,4,14,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,getLx,3,1,0,21,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,getLy,3,1,0,25,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,getRx,3,1,0,29,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,getRy,3,1,0,33,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,setLx,3,1,1,37,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,setLy,3,1,1,41,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,setRx,3,1,1,45,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchRegion,setRy,3,1,1,49,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchResult,SearchResult,2,1,0,7,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchResult,SearchResult,4,1,2,9,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchResult,getItemId,3,1,0,14,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchResult,setItemId,3,1,1,18,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchResult,getName,3,1,0,22,0,,
klcathy_CS144,edu.ucla.cs.cs144,SearchResult,setName,3,1,1,26,0,,
