Project Name,Package Name,Architecture Smell,Cause of the Smell
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.squareup.okhttp.internal.http
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Address; ConnectionPool; OkAuthenticator; OkHttpClient; OkResponseCache; Request; Response; Response.Builder; ResponseSource; Route; RouteDatabase; Connection; Job; MediaType; TunnelRequest; Dispatcher; Dispatcher.RealResponseBody; Failure; Failure.Builder; HttpResponseCache]; [HttpResponseCache.CacheRequestImpl]; [HttpResponseCache.Entry]; [HttpResponseCache.EntryCacheResponse]; [HttpResponseCache.EntrySecureCacheResponse]; [OkAuthenticator.Challenge]; [OkAuthenticator.Credential]; [Request.Body]; [Request.Builder]; [Response.Body]; [Response.Receiver]. LCC (Lack of Component Cohesion) = 0.37
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.squareup.okhttp; com.squareup.okhttp.internal.http; com.squareup.okhttp
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractOutputStream; FaultRecoveringOutputStream; Util; DiskLruCache; Platform; Platform.Android23; Platform.JdkWithJettyNpnPlatform; StrictLineReader; DiskLruCache.Editor; Platform.JettyNpnProvider]; [Base64]; [DiskLruCache.Snapshot]; [DiskLruCache.FaultHidingOutputStream]; [DiskLruCache.Entry]; [Dns]; [NamedRunnable]; [Platform.Android41]. LCC (Lack of Component Cohesion) = 0.47
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal.http,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractHttpInputStream; HttpEngine; HttpsEngine; HttpsURLConnectionImpl; HttpTransport; HttpTransport.FixedLengthInputStream; HttpTransport.ChunkedInputStream; HttpURLConnectionImpl; Policy; RawHeaders; RequestHeaders; ResponseHeaders; RetryableOutputStream; RouteSelector; SpdyTransport; Transport; UnknownLengthHttpInputStream; HeaderParser; HttpAuthenticator; HttpDate; HttpsURLConnectionImpl.HttpUrlConnectionDelegate]; [HeaderParser.CacheControlHandler]; [HttpTransport.FixedLengthOutputStream]; [HttpTransport.ChunkedOutputStream]; [HttpURLConnectionImpl.Retry]; [OkResponseCacheAdapter]. LCC (Lack of Component Cohesion) = 0.23
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal.spdy,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ErrorCode; FrameWriter; Http20Draft06; Http20Draft06.Writer; IncomingStreamHandler; Settings; Spdy3; Spdy3.Reader; Spdy3.Writer; SpdyConnection; SpdyConnection.Builder; SpdyConnection.Reader; SpdyStream; SpdyStream.SpdyDataInputStream; Variant; FrameReader; Http20Draft06.Reader; HeadersMode; Hpack; NameValueBlockReader; Ping]; [FrameReader.Handler]; [Hpack.HeaderEntry]; [Hpack.Reader]; [Hpack.Writer]; [NameValueBlockReader.FillableInflaterInputStream]; [SpdyStream.SpdyDataOutputStream]. LCC (Lack of Component Cohesion) = 0.26
marcsstevenson_OvenSimCordova,org.apache.cordova,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 42
marcsstevenson_OvenSimCordova,org.apache.cordova,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.squareup.okhttp
marcsstevenson_OvenSimCordova,org.apache.cordova,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [App; CallbackContext; CordovaPlugin; CordovaPreferences; CordovaWebView; CordovaWebViewClient; IceCreamCordovaWebViewClient; LOG; NativeToJsMessageQueue; PluginEntry; PluginManager; PluginResult; ScrollEvent; Whitelist; AuthenticationToken; CordovaActivity; CordovaChromeClient; CordovaInterface; CordovaUriHelper; DroidGap; FileHelper; LinearLayoutSoftKeyboardDetect; Config; ConfigXmlParser; CordovaArgs; CordovaBridge; CordovaResourceApi; ExposedJsApi; NativeToJsMessageQueue.JsMessage]; [CordovaResourceApi.OpenForReadResult]; [CordovaWebView.ActivityResult]; [CordovaWebView.Level16Apis]; [DirectoryManager]; [ExifHelper]; [JSONUtils]; [NativeToJsMessageQueue.BridgeMode]; [NativeToJsMessageQueue.PollingBridgeMode]; [NativeToJsMessageQueue.LoadUrlBridgeMode]; [NativeToJsMessageQueue.OnlineEventsBridgeMode]; [NativeToJsMessageQueue.PrivateApiBridgeMode]; [PluginResult.Status]; [Whitelist.URLPattern]. LCC (Lack of Component Cohesion) = 0.33
marcsstevenson_OvenSimCordova,org.apache.cordova.file,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ContentFilesystem; FileExistsException; Filesystem; FileUtils; InvalidModificationException; LocalFilesystem; LocalFilesystemURL; NoModificationAllowedException; TypeMismatchException; ContentFilesystem; Filesystem; FileUtils; LocalFilesystem; DirectoryManager; DirectoryManager; EncodingException; FileHelper; FileHelper]; [Filesystem.ReadFileCallback]; [Filesystem.LimitedInputStream]; [FileUtils.FileOp]; [EncodingException]; [FileExistsException]; [Filesystem.ReadFileCallback]; [Filesystem.LimitedInputStream]; [FileUtils.FileOp]; [InvalidModificationException]; [LocalFilesystemURL]; [NoModificationAllowedException]; [TypeMismatchException]. LCC (Lack of Component Cohesion) = 0.43
