Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,Feature Envy,The tool detected a instance of this smell because requiresTunnel is more interested in members of the type: Route
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OkHttpClient; Dispatcher; ResponseHeaders; RawHeaders; HttpEngine; Connection; TunnelRequest; HttpAuthenticator; RouteSelector; ConnectionPool; Transport; RequestHeaders; HttpURLConnectionImpl; Request; Job; Response; HttpTransport; Failure
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Dispatcher.RealResponseBody,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: responseHeaders; in
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Dispatcher.RealResponseBody,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Failure.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: request; exception
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Failure.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HttpURLConnectionImpl; HttpsURLConnectionImpl in method getHttpEngine
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache.CacheRequestImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: editor; cacheOut; done; body
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache.CacheRequestImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache.Entry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache.Entry,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: uri; varyHeaders; requestMethod; responseHeaders; cipherSuite; peerCertificates; localCertificates
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache.EntryCacheResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: entry; snapshot; in
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache.EntryCacheResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache.EntrySecureCacheResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: entry; snapshot; in
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache.EntrySecureCacheResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,Feature Envy,The tool detected a instance of this smell because newEngine is more interested in members of the type: Request
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkAuthenticator.Challenge,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: scheme; realm
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkAuthenticator.Challenge,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkAuthenticator.Credential,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: headerValue
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkAuthenticator.Credential,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkHttpClient,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
