Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,Address,Long Parameter List,The method has 7 parameters. ,46
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,equals,Long Statement,The length of the statement "return equal(this.proxy`that.proxy) && this.uriHost.equals(that.uriHost) && this.uriPort == that.uriPort && equal(this.sslSocketFactory`that.sslSocketFactory) && equal(this.hostnameVerifier`that.hostnameVerifier) && equal(this.authenticator`that.authenticator) && equal(this.transports`that.transports);" is 303.,115
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 17,129
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,upgradeToTls,Complex Method,Cyclomatic complexity of the method is 8,112
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,makeTunnel,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2e19d196,299
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,streamWrapper,Magic Number,The method contains a magic number: 4096,331
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,streamWrapper,Magic Number,The method contains a magic number: 256,331
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,call,Complex Method,Cyclomatic complexity of the method is 8,87
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,call,Long Statement,The length of the statement "for (ListIterator<Connection> i=connections.listIterator(connections.size()); i.hasPrevious() && idleConnectionCount > maxIdleConnections; ) {" is 142.,87
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,ConnectionPool,Magic Number,The method contains a magic number: 1000,120
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,ConnectionPool,Magic Number,The method contains a magic number: 1000,120
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,get,Complex Conditional,The conditional expression !connection.getRoute().getAddress().equals(address) || !connection.isAlive() || System.nanoTime() - connection.getIdleStartTimeNs() >= keepAliveDurationNs is complex.,178
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,get,Long Statement,The length of the statement "if (!connection.getRoute().getAddress().equals(address) || !connection.isAlive() || System.nanoTime() - connection.getIdleStartTimeNs() >= keepAliveDurationNs) {" is 161.,178
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Dispatcher,enqueue,Magic Number,The method contains a magic number: 2,35
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,maybeRemove,Complex Conditional,The conditional expression requestMethod.equals("POST") || requestMethod.equals("PUT") || requestMethod.equals("DELETE") is complex.,247
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,maybeRemove,Empty catch clause,The method has an empty catch block.,247
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,update,Long Statement,The length of the statement "DiskLruCache.Snapshot snapshot=(conditionalCacheHit instanceof EntryCacheResponse) ? ((EntryCacheResponse)conditionalCacheHit).snapshot : ((EntrySecureCacheResponse)conditionalCacheHit).snapshot;" is 195.,264
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,abortQuietly,Empty catch clause,The method has an empty catch block.,287
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,execute,Long Statement,The length of the statement "Dispatcher.RealResponseBody responseBody=new Dispatcher.RealResponseBody(engine.getResponseHeaders()`engine.getResponseBody());" is 127.,107
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,execute,Long Statement,The length of the statement "Response response=new Response.Builder(request`responseCode).rawHeaders(engine.getResponseHeaders().getHeaders()).body(responseBody).redirectedBy(redirectedBy).build();" is 168.,107
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,processResponse,Complex Conditional,The conditional expression responseCode == HTTP_TEMP_REDIRECT && !method.equals("GET") && !method.equals("HEAD") is complex.,170
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,processResponse,Complex Method,Cyclomatic complexity of the method is 12,170
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,processResponse,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6c4b3ef6,170
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,sameConnection,Long Statement,The length of the statement "return a.url().getHost().equals(b.url().getHost()) && getEffectivePort(a.url()) == getEffectivePort(b.url()) && a.url().getProtocol().equals(b.url().getProtocol());" is 164.,227
marcsstevenson_OvenSimCordova,com.squareup.okhttp,MediaType,parse,Magic Number,The method contains a magic number: 2,46
marcsstevenson_OvenSimCordova,com.squareup.okhttp,MediaType,parse,Magic Number,The method contains a magic number: 2,46
marcsstevenson_OvenSimCordova,com.squareup.okhttp,MediaType,parse,Magic Number,The method contains a magic number: 2,46
marcsstevenson_OvenSimCordova,com.squareup.okhttp,MediaType,parse,Magic Number,The method contains a magic number: 3,46
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkHttpClient,createURLStreamHandler,Magic Number,The method contains a magic number: 80,379
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkHttpClient,createURLStreamHandler,Magic Number,The method contains a magic number: 443,379
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkHttpClient,getDefaultPort,Magic Number,The method contains a magic number: 80,401
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkHttpClient,getDefaultPort,Magic Number,The method contains a magic number: 443,401
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Route,equals,Long Statement,The length of the statement "return (address.equals(other.address) && proxy.equals(other.proxy) && inetSocketAddress.equals(other.inetSocketAddress)&& modernTls == other.modernTls);" is 152.,72
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Route,hashCode,Magic Number,The method contains a magic number: 17,83
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Route,hashCode,Magic Number,The method contains a magic number: 31,83
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Route,hashCode,Magic Number,The method contains a magic number: 31,83
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Route,hashCode,Magic Number,The method contains a magic number: 31,83
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Route,hashCode,Magic Number,The method contains a magic number: 31,83
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Complex Conditional,The conditional expression (chr == '\n') || (chr == '\r') || (chr == ' ')|| (chr == '\t') is complex.,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Complex Conditional,The conditional expression (chr == '\n') || (chr == '\r') || (chr == ' ')|| (chr == '\t') is complex.,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Complex Method,Cyclomatic complexity of the method is 15,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 4,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 3,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 65,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 71,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 4,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 62,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 63,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 6,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 4,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 3,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 16,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 8,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 6,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 16,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,decode,Magic Number,The method contains a magic number: 8,40
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 2,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 4,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 3,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 3,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 3,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0xff,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 2,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0x03,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 4,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0xff,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 4,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0x0f,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 2,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 2,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0xff,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 6,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 2,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0x3f,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 3,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0xff,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 2,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0x03,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 4,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 2,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0xff,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 2,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0x03,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 4,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0xff,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 4,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 0x0f,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Base64,encode,Magic Number,The method contains a magic number: 2,134
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,open,Long Statement,The length of the statement "cache.journalWriter=new BufferedWriter(new OutputStreamWriter(new FileOutputStream(cache.journalFile`true)`Util.US_ASCII));" is 123.,190
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,readJournal,Complex Conditional,The conditional expression !MAGIC.equals(magic) || !VERSION_1.equals(version) || !Integer.toString(appVersion).equals(appVersionString)|| !Integer.toString(valueCount).equals(valueCountString)|| !"".equals(blank) is complex.,243
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,readJournal,Long Statement,The length of the statement "if (!MAGIC.equals(magic) || !VERSION_1.equals(version) || !Integer.toString(appVersion).equals(appVersionString)|| !Integer.toString(valueCount).equals(valueCountString)|| !"".equals(blank)) {" is 192.,243
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,readJournalLine,Complex Conditional,The conditional expression secondSpace != -1 && firstSpace == CLEAN.length() && line.startsWith(CLEAN) is complex.,275
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,readJournalLine,Complex Conditional,The conditional expression secondSpace == -1 && firstSpace == DIRTY.length() && line.startsWith(DIRTY) is complex.,275
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,readJournalLine,Complex Conditional,The conditional expression secondSpace == -1 && firstSpace == READ.length() && line.startsWith(READ) is complex.,275
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,readJournalLine,Complex Method,Cyclomatic complexity of the method is 8,275
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,edit,Complex Conditional,The conditional expression expectedSequenceNumber != ANY_SEQUENCE_NUMBER && (entry == null || entry.sequenceNumber != expectedSequenceNumber) is complex.,449
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,edit,Long Statement,The length of the statement "if (expectedSequenceNumber != ANY_SEQUENCE_NUMBER && (entry == null || entry.sequenceNumber != expectedSequenceNumber)) {" is 121.,449
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,completeEdit,Complex Method,Cyclomatic complexity of the method is 12,504
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,DiskLruCache,journalRebuildRequired,Magic Number,The method contains a magic number: 2000,559
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Platform,newDeflaterOutputStream,Long Statement,The length of the statement "constructor=deflaterConstructor=DeflaterOutputStream.class.getConstructor(OutputStream.class`Deflater.class`boolean.class);" is 123.,111
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Platform,findPlatform,Empty catch clause,The method has an empty catch block.,137
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Platform,findPlatform,Empty catch clause,The method has an empty catch block.,137
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Platform,findPlatform,Empty catch clause,The method has an empty catch block.,137
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Platform,findPlatform,Empty catch clause,The method has an empty catch block.,137
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,StrictLineReader,StrictLineReader,Magic Number,The method contains a magic number: 8192,62
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,StrictLineReader,readLine,Complex Method,Cyclomatic complexity of the method is 9,117
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,StrictLineReader,readLine,Magic Number,The method contains a magic number: 80,117
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,getDefaultPort,Magic Number,The method contains a magic number: 80,75
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,getDefaultPort,Magic Number,The method contains a magic number: 443,75
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,checkOffsetAndCount,Complex Conditional,The conditional expression (offset | count) < 0 || offset > arrayLength || arrayLength - offset < count is complex.,85
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 24,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 0xff,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 16,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 0xff,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 8,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 0xff,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 0xff,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 0xff,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 8,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 0xff,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 16,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 0xff,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 24,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,pokeInt,Magic Number,The method contains a magic number: 0xff,91
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,closeQuietly,Empty catch clause,The method has an empty catch block.,110
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,closeQuietly,Empty catch clause,The method has an empty catch block.,125
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,closeQuietly,Empty catch clause,The method has an empty catch block.,140
marcsstevenson_OvenSimCordova,com.squareup.okhttp.internal,Util,readSingleByte,Magic Number,The method contains a magic number: 0xff,197
