Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,Address,13,5,7,46,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,getUriHost,3,1,0,62,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,getUriPort,3,1,0,67,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,getSslSocketFactory,3,1,0,75,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,getHostnameVerifier,3,1,0,83,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,getAuthenticator,3,1,0,92,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,getTransports,3,1,0,99,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,getProxy,3,1,0,107,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,equals,7,2,1,115,0,com.squareup.okhttp.internal.Util,com.squareup.okhttp.internal.Util
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Address,hashCode,11,1,0,129,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,Connection,3,1,1,90,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,connect,15,3,3,94,0,com.squareup.okhttp.Connection,com.squareup.okhttp.Connection; com.squareup.okhttp.internal.Platform
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,upgradeToTls,36,8,1,112,0,com.squareup.okhttp.Connection,com.squareup.okhttp.Connection; com.squareup.okhttp.internal.Platform; com.squareup.okhttp.internal.spdy.SpdyConnection; com.squareup.okhttp.Address
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,isConnected,3,1,0,165,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,close,3,1,0,170,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,getRoute,3,1,0,174,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,getSocket,3,1,0,179,0,,
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,isAlive,3,1,0,187,0,,
