Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.okhttp.internal.http.RawHeaders; com.squareup.okhttp.internal.spdy.SpdyConnection
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Connection,Law of Demeter violation,The tool detected the smell in this method (connect) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.Platform.connectSocket; com.squareup.okhttp.internal.Platform.get
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.Address.equals; com.squareup.okhttp.Route.getAddress; com.squareup.okhttp.Connection.getRoute
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.Platform.get; com.squareup.okhttp.internal.Platform.tagSocket
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.Platform.logW; com.squareup.okhttp.internal.Platform.get
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,Law of Demeter violation,The tool detected the smell in this method (recycle) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.Platform.get; com.squareup.okhttp.internal.Platform.untagSocket
marcsstevenson_OvenSimCordova,com.squareup.okhttp,ConnectionPool,Law of Demeter violation,The tool detected the smell in this method (recycle) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.Platform.logW; com.squareup.okhttp.internal.Platform.get
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Dispatcher,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.okhttp.Job
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Failure.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.okhttp.internal.http.RawHeaders
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,Law of Demeter violation,The tool detected the smell in this method (put) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.http.HttpEngine.getRequestHeaders; com.squareup.okhttp.internal.http.RawHeaders.getAll; com.squareup.okhttp.internal.http.RequestHeaders.getHeaders
marcsstevenson_OvenSimCordova,com.squareup.okhttp,HttpResponseCache,Law of Demeter violation,The tool detected the smell in this method (update) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.http.HttpEngine.getRequestHeaders; com.squareup.okhttp.internal.http.RawHeaders.getAll; com.squareup.okhttp.internal.http.RequestHeaders.getHeaders
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.okhttp.Response
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.http.HttpEngine.getRequestHeaders; com.squareup.okhttp.internal.http.RequestHeaders.getContentType
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.http.HttpEngine.getRequestHeaders; com.squareup.okhttp.internal.http.RequestHeaders.setContentType
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.http.ResponseHeaders.getHeaders; com.squareup.okhttp.internal.http.HttpEngine.getResponseHeaders
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Job,Law of Demeter violation,The tool detected the smell in this method (processResponse) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.okhttp.internal.http.HttpEngine.getConnection; com.squareup.okhttp.Route.getProxy; com.squareup.okhttp.Connection.getRoute
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkHttpClient,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.okhttp.Dispatcher
marcsstevenson_OvenSimCordova,com.squareup.okhttp,OkHttpClient,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Request,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.okhttp.internal.http.RawHeaders
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Request.Body,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Request.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Response,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.okhttp.internal.http.RawHeaders
marcsstevenson_OvenSimCordova,com.squareup.okhttp,Response.Body,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
