Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
markcwal_TwitterClient,com.codepath.apps.basictwitter,ComposeActivity,onCreate,6,1,1,24,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,ComposeActivity,tweetClick,17,2,1,33,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,ComposeActivity,onSuccess,2,1,1,48,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,ComposeActivity,onFailure,4,1,2,54,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,LoginActivity,onCreate,4,1,1,12,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,LoginActivity,onCreateOptionsMenu,4,1,1,19,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,LoginActivity,onLoginSuccess,4,1,0,27,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,LoginActivity,onLoginFailure,3,1,1,36,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,LoginActivity,loginToRest,3,1,1,44,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,onCreate,16,1,1,28,0,com.codepath.apps.basictwitter.TimelineActivity,com.codepath.apps.basictwitter.TimelineActivity
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,onLoadMore,3,1,2,44,0,com.codepath.apps.basictwitter.TimelineActivity,com.codepath.apps.basictwitter.TimelineActivity
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,onCreateOptionsMenu,4,1,1,54,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,customLoadMoreDataFromApi,13,2,1,62,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,onSuccess,3,1,1,72,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,onFailure,4,1,2,78,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,populateTimeline,14,1,0,86,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,onSuccess,4,1,1,91,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,onFailure,4,1,2,98,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,onComposeClick,4,1,1,106,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TimelineActivity,onActivityResult,13,3,3,116,0,com.codepath.apps.basictwitter.TimelineActivity,com.codepath.apps.basictwitter.TimelineActivity
markcwal_TwitterClient,com.codepath.apps.basictwitter,TweetArrayAdapter,TweetArrayAdapter,3,1,2,22,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TweetArrayAdapter,getView,24,2,3,27,0,com.codepath.apps.basictwitter.TweetArrayAdapter,com.codepath.apps.basictwitter.TweetArrayAdapter
markcwal_TwitterClient,com.codepath.apps.basictwitter,TweetArrayAdapter,getRelativeTimeAgo,16,1,1,62,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TwitterApplication,onCreate,7,1,0,21,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TwitterApplication,getRestClient,3,1,0,35,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TwitterClient,TwitterClient,3,1,1,31,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TwitterClient,getHomeTimeline,9,2,2,35,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter,TwitterClient,postStatus,6,1,2,53,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,EndlessScrollListener,EndlessScrollListener,2,1,0,19,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,EndlessScrollListener,EndlessScrollListener,3,1,1,22,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,EndlessScrollListener,EndlessScrollListener,5,1,2,26,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,EndlessScrollListener,onScroll,18,5,4,35,0,com.codepath.apps.basictwitter.models.EndlessScrollListener,com.codepath.apps.basictwitter.models.EndlessScrollListener
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,EndlessScrollListener,onLoadMore,0,1,2,65,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,EndlessScrollListener,onScrollStateChanged,2,1,2,67,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,SampleModel,SampleModel,3,1,0,25,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,SampleModel,SampleModel,9,1,1,30,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,SampleModel,getName,3,1,0,41,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,SampleModel,byId,3,1,1,46,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,SampleModel,recentItems,3,1,0,50,0,,
markcwal_TwitterClient,com.codepath.apps.basictwitter.models,Tweet,fromJSON,14,1,1,17,0,,
