Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,Alumno,8,1,6,24,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,Alumno,2,1,0,33,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,addObservacion,9,3,1,36,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,getObservaciones,3,1,0,46,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,setObservaciones,3,1,1,50,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,getNombre,3,1,0,54,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,setNombre,3,1,1,58,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,getApellido,3,1,0,62,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,setApellido,3,1,1,66,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,getAño,3,1,0,70,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,setAño,3,1,1,74,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,getCurso,3,1,0,78,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,setCurso,3,1,1,82,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,getEdad,3,1,0,86,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,setEdad,3,1,1,90,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,getComportamiento,3,1,0,94,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,setComportamiento,3,1,1,98,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Alumno,toString,5,1,0,103,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,ListadoAlumnos,addAlumno,9,3,1,16,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,ListadoAlumnos,getLista,3,1,0,26,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,ListadoObservacion,addObservacion,9,3,1,18,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Observacion,getObservacion,3,1,0,16,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Observacion,setObservacion,3,1,1,20,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Observacion,toString,3,1,0,24,0,,
mateobossio_Seguimiento-Disciplinario,Codigo,Observacion,getObservaciones,3,1,0,29,0,,
mateobossio_Seguimiento-Disciplinario,interfaz,Ayuda,Ayuda,3,1,0,15,0,interfaz.Ayuda,interfaz.Ayuda
mateobossio_Seguimiento-Disciplinario,interfaz,Ayuda,initComponents,50,1,0,22,0,interfaz.Ayuda,interfaz.Ayuda
mateobossio_Seguimiento-Disciplinario,interfaz,Ayuda,actionPerformed,3,1,1,65,0,interfaz.Ayuda,interfaz.Ayuda
mateobossio_Seguimiento-Disciplinario,interfaz,Ayuda,salirbtnActionPerformed,5,1,1,162,0,,
mateobossio_Seguimiento-Disciplinario,interfaz,Ayuda,main,28,3,1,168,0,,
mateobossio_Seguimiento-Disciplinario,interfaz,Ayuda,run,3,1,0,197,0,,
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,Buscador,3,1,0,18,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,initComponents,95,1,0,25,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,actionPerformed,3,1,1,57,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,actionPerformed,3,1,1,65,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,actionPerformed,3,1,1,85,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,actionPerformed,3,1,1,91,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,actionPerformed,3,1,1,97,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,actionPerformed,3,1,1,103,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,actionPerformed,3,1,1,114,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,actionPerformed,3,1,1,125,0,interfaz.Buscador,interfaz.Buscador
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,txtApellidoActionPerformed,2,1,1,232,0,,
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,NombreActionPerformed,2,1,1,236,0,,
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,AñoActionPerformed,2,1,1,240,0,,
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,ApellidoActionPerformed,2,1,1,244,0,,
mateobossio_Seguimiento-Disciplinario,interfaz,Buscador,CursoActionPerformed,2,1,1,248,0,,
