Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: LI; ADDI; SI in method main
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: LI; ADDI; SI in method main
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: InitS230; Instruction; Compiler; InitTrans; InitMIF; ADDI; LW; SW; JR; CMP; B; BAL; J; JAL; LI; BLT; BEQ; BNE; SI
mathewreny_ARM230Compiler,edu.unl.cse,InitS230.InstructionsS230,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mathewreny_ARM230Compiler,edu.unl.cse,InitS230.InstructionsS230,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans.AlteraInstruction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans.AlteraInstruction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans.SupportedAlteraInstruction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans.SupportedAlteraInstruction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mathewreny_ARM230Compiler,edu.unl.cse,Block,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
