Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Complex Conditional,The conditional expression instructionToAdd instanceof LI || instructionToAdd instanceof ADDI || instructionToAdd instanceof SI is complex.,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Complex Method,Cyclomatic complexity of the method is 37,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Long Method,The method has 197 lines of code.,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 5,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 32768,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 16384,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 8192,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 4096,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 15,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 12,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 15,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 12,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 11,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,Magic Number,The method contains a magic number: 3,32
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,returnBinaryNumber,Complex Method,Cyclomatic complexity of the method is 8,372
mathewreny_ARM230Compiler,edu.unl.cse,InitMIF,getPrintWriter,Complex Method,Cyclomatic complexity of the method is 11,20
mathewreny_ARM230Compiler,edu.unl.cse,InitMIF,getPrintWriter,Magic Number,The method contains a magic number: 2,20
mathewreny_ARM230Compiler,edu.unl.cse,InitMIF,getPrintWriter,Magic Number,The method contains a magic number: 2,20
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,getScanner,Complex Method,Cyclomatic complexity of the method is 9,48
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,isInstruction,Long Statement,The length of the statement "String[] validInstructions={"add"`"and"`"or"`"xor"`"addi"`"lw"`"sw"`"jr"`"cmp"`"b"`"bal"`"j"`"jal"`"li"`"blt"`"beq"`"bne"`"sub"`"si"`"sll"};" is 140.,114
