Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.InitTrans; edu.unl.cse.InitS230; edu.unl.cse.InitMIF
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.instructions.Instruction
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.instructions.Instruction
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.InitMIFWIN; edu.unl.cse.InitS230WIN
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.Instruction
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
mathewreny_ARM230Compiler,edu.unl.cse,InitS230WIN,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.Instruction
mathewreny_ARM230Compiler,edu.unl.cse,InitS230WIN,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.InitTrans; edu.unl.cse.InitS230; edu.unl.cse.InitMIF
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.instructions.Instruction
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.instructions.Instruction
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.InitS230; edu.unl.cse.InitMIF
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.unl.cse.instructions.Instruction
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23
mathewreny_ARM230Compiler,com.unl.cse,InitS230,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
mathewreny_ARM230Compiler,com.unl.cse,InitS230WIN,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
