Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,0,0,3,3,236,47,0,0,-1.0,69,5,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\Build415\Program_Files\edu\unl\cse\Compiler.java,28
mathewreny_ARM230Compiler,edu.unl.cse,Constant,2,0,9,9,37,10,0,0,0.0,7,0,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\Build415\Program_Files\edu\unl\cse\Constant.java,3
mathewreny_ARM230Compiler,edu.unl.cse,InitMIF,1,0,2,2,69,13,0,0,0.0,3,1,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\Build415\Program_Files\edu\unl\cse\InitMIF.java,8
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,1,0,10,7,263,54,0,0,0.6,7,24,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\Build415\Program_Files\edu\unl\cse\InitS230.java,32
mathewreny_ARM230Compiler,edu.unl.cse,InitS230.InstructionsS230,0,0,0,0,1,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\Build415\Program_Files\edu\unl\cse\InitS230.java,188
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,3,0,12,11,218,59,0,0,0.4166666666666667,3,2,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\Build415\Program_Files\edu\unl\cse\InitTrans.java,12
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans.AlteraInstruction,0,0,0,0,1,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\Build415\Program_Files\edu\unl\cse\InitTrans.java,167
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans.SupportedAlteraInstruction,0,0,0,0,1,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\Build415\Program_Files\edu\unl\cse\InitTrans.java,281
mathewreny_ARM230Compiler,edu.unl.cse,Location,2,0,8,8,31,8,0,0,0.0,4,0,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\Build415\Program_Files\edu\unl\cse\Location.java,3
mathewreny_ARM230Compiler,edu.unl.cse,ADD,0,0,3,3,11,3,0,1,-1.0,2,0,E:\Repositories\Cloned_Reposit\mathewreny_ARM230Compiler\BuildApril14th\Program_Files\edu\unl\cse\ADD.java,4
