Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
maxdemarzi_archetype_api,pe.archety,ArchetypeConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACTION; DATA; URLPREFIX; EMAIL_VALIDATOR; PHONE_UTIL; HTTP_CLIENT; BATCH_WRITER_SERVICE; ITERATIONS; KEY_LENGTH
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: JSON_UTF8; TEXT_PLAIN; objectMapper; STOREDIR; CONFIG; graphDb; batchWriterService; identityCache; urlCache
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BatchWriterService; ArchetypeServer
maxdemarzi_archetype_api,pe.archety,BatchWriterService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; LIKES_EXPANDER; ONE_HOP_LIKES_PATH; HATES_EXPANDER; ONE_HOP_HATES_PATH; KNOWS_EXPANDER; ONE_HOP_KNOWS_PATH; SECURE_RANDOM; graphDb; queue; INSTANCE
maxdemarzi_archetype_api,pe.archety,BatchWriterServiceAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
maxdemarzi_archetype_api,pe.archety,Labels,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
maxdemarzi_archetype_api,pe.archety,Relationships,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
maxdemarzi_archetype_api,pe.archety.handlers.api,GetIdentityHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateIdentityHandlerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: db; objectMapper; undertow; client; identity1; identity1Response; identity2; identity2Response; identity3; identity3Response; identityWithTypo; identityWithBadPhoneNumber; identityWithInvalidPhoneNumber; errorParsingJSONResponse; errorBadParametersResponse; errorBadPhoneNumberResponse; errorInvalidPhoneNumberResponse
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: db; objectMapper; undertow; client; identity1; identity2; knows1Response; identity3; knows2Response; identity4; knows3Response; knows4Response; identityWithInvalidEmail; errorInvalidEmailResponse; identityWithInvalidEmail2; errorInvalidEmailResponse2; identityWithInvalidPhoneNumber; errorInvalidPhoneNumberResponse; errorParsingPhoneNumberResponse; errorParsingJSONResponse; identityWithMixedUpValues
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateLikesOrHatesHandlerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: db; objectMapper; undertow; client; identity1; page1; likes1Response; hates1Response; identity2; likes2Response; identityWithInvalidEmail; errorInvalidEmailResponse; identityWithInvalidEmail2; errorInvalidEmailResponse2; identityWithInvalidPhoneNumber; errorInvalidPhoneNumberResponse; pageWithInvalidURLPrefix; errorInvalidURLPrefixResponse; pageWithInvalidURL; errorInvalidURLResponse
maxdemarzi_archetype_api,pe.archety.handlers.api,CreatePageHandlerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: db; objectMapper; undertow; client; page1; page1Response; page2; page2Response; page3; page3Response; page4; page4Response; pageWithInvalidURLPrefix; errorInvalidURLPrefixResponse; pageWithInvalidURL; errorInvalidURLResponse
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateTokenHandlerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: db; objectMapper; undertow; client; identity1; identity1Response; identity2; identityWithTypo; errorParsingJSONResponse; errorEmailParameterResponse
maxdemarzi_archetype_api,pe.archety.handlers.api,GetKnowsHandlerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: db; objectMapper; undertow; client; identity1; likes1Response; identity2; likes2Response; identity3; identity4; likes3Response; identityWithInvalidEmail; errorInvalidEmailResponse; identityWithInvalidEmail2; errorInvalidEmailResponse2; identityWithInvalidPhoneNumber; errorInvalidPhoneNumberResponse
maxdemarzi_archetype_api,pe.archety.handlers.api,GetLikesOrHatesHandlerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: db; objectMapper; undertow; client; identity1; likes1Response; hates1Response; identity2; likes2Response; identity3; identity4; likes3Response; identityWithInvalidEmail; errorInvalidEmailResponse; identityWithInvalidEmail2; errorInvalidEmailResponse2; identityWithInvalidPhoneNumber; errorInvalidPhoneNumberResponse
maxdemarzi_archetype_api,pe.archety.handlers.api,GetTokenHandlerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: db; objectMapper; undertow; client; SECURE_RANDOM; token1; token2; badtoken; errorAuthenticatingTokenResponse
