Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
maxdemarzi_archetype_api,pe.archety,ArchetypeConstants,calculateHash,Magic Number,The method contains a magic number: 512,31
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Long Statement,The length of the statement "graphDb=new HighlyAvailableGraphDatabaseFactory().newEmbeddedDatabaseBuilder(STOREDIR).loadPropertiesFromFile(CONFIG).newGraphDatabase();" is 137.,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Long Statement,The length of the statement "Undertow.builder().addHttpListener(8079`"archety.pe").setBufferSize(1024 * 16).setIoThreads(Runtime.getRuntime().availableProcessors() * 2).setHandler(new RoutingHandler().add("GET"`"/"`new HelloWorldHandler()).add("GET"`"/v1/admin/warmup"`new WarmUpHandler(graphDb)).add("GET"`"/v1/admin/initialize"`new InitializeHandler(graphDb)).add("GET"`"/v1/admin/wikipedia"`new WikipediaHandler(graphDb)).add("GET"`"/v1/hello/{name}"`new HelloNameHandler()).add("GET"`"/v1/hi"`new HiNameHandler())).setWorkerThreads(200).build().start();" is 528.,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Long Statement,The length of the statement "Undertow.builder().addHttpListener(8080`"archety.pe").setBufferSize(1024 * 16).setIoThreads(Runtime.getRuntime().availableProcessors() * 2).setHandler(new RoutingHandler().add("GET"`"/v1/identities/{identity}"`new GetIdentityHandler(graphDb`objectMapper)).add("POST"`"/v1/identities"`new CreateIdentityHandler(graphDb`objectMapper)).add("POST"`"/v1/identities/{identity}/likes"`new CreateLikesOrHatesHandler(graphDb`objectMapper`Relationships.LIKES.name())).add("GET"`"/v1/identities/{identity}/likes"`new GetLikesOrHatesHandler(graphDb`objectMapper`Relationships.LIKES)).add("POST"`"/v1/identities/{identity}/hates"`new CreateLikesOrHatesHandler(graphDb`objectMapper`Relationships.HATES.name())).add("GET"`"/v1/identities/{identity}/hates"`new GetLikesOrHatesHandler(graphDb`objectMapper`Relationships.HATES)).add("POST"`"/v1/identities/{identity}/knows"`new CreateKnowsHandler(graphDb`objectMapper)).add("GET"`"/v1/identities/{identity}/knows"`new GetKnowsHandler(graphDb`objectMapper)).add("POST"`"/v1/pages"`new CreatePageHandler(graphDb`objectMapper)).add("POST"`"/v1/tokens"`new CreateTokenHandler(graphDb`objectMapper)).add("GET"`"/v1/tokens/{token}"`new GetTokenHandler(graphDb))).setWorkerThreads(200).build().start();" is 1227.,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Magic Number,The method contains a magic number: 8079,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Magic Number,The method contains a magic number: 1024,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Magic Number,The method contains a magic number: 16,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Magic Number,The method contains a magic number: 2,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Magic Number,The method contains a magic number: 200,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Magic Number,The method contains a magic number: 8080,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Magic Number,The method contains a magic number: 1024,30
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,Magic Number,The method contains a magic number: 16,30
