Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
maxdemarzi_archetype_api,pe.archety,ArchetypeConstants,calculateHash,8,1,1,31,0,,
maxdemarzi_archetype_api,pe.archety,ArchetypeConstants,encrypt,17,1,2,40,0,,
maxdemarzi_archetype_api,pe.archety,ArchetypeConstants,decrypt,19,3,2,59,0,,
maxdemarzi_archetype_api,pe.archety,ArchetypeConstants,calculateHashVerySlowly,9,1,1,85,0,,
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,main,7,1,1,30,0,pe.archety.ArchetypeServer,pe.archety.ArchetypeServer
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,registerShutdownHook,8,1,1,78,0,,
maxdemarzi_archetype_api,pe.archety,ArchetypeServer,run,3,1,0,85,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,SetGraphDatabase,3,1,1,37,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,BatchWriterService,8,2,0,42,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,runOneIteration,148,21,0,51,0,pe.archety.BatchWriterService,pe.archety.BatchWriterService
maxdemarzi_archetype_api,pe.archety,BatchWriterService,emailTokenAsync,2,1,1,194,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,createToken,5,1,0,198,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,CreateLikesRelationship,10,2,2,204,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,CreateHatesRelationship,10,2,2,215,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,CreateKnowsRelationship,11,2,3,226,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,createIdentity,6,1,1,238,0,pe.archety.BatchWriterService,pe.archety.BatchWriterService
maxdemarzi_archetype_api,pe.archety,BatchWriterService,createPage,14,3,1,245,0,pe.archety.BatchWriterService,pe.archety.BatchWriterService
maxdemarzi_archetype_api,pe.archety,BatchWriterService,scheduler,3,1,0,261,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,getUniquePageFactory,9,1,1,266,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,initialize,4,1,2,269,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,getUniqueIdentityFactory,9,1,1,278,0,,
maxdemarzi_archetype_api,pe.archety,BatchWriterService,initialize,4,1,2,281,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,HelloNameHandler,handleRequest,5,1,1,10,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,HelloWorldHandler,handleRequest,4,1,1,24,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,HiNameHandler,handleRequest,5,1,1,10,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,InitializeHandler,InitializeHandler,3,1,1,24,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,InitializeHandler,handleRequest,43,3,1,28,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,WarmUpHandler,WarmUpHandler,3,1,1,18,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,WarmUpHandler,handleRequest,13,3,1,22,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,WikipediaHandler,WikipediaHandler,3,1,1,23,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,WikipediaHandler,handleRequest,36,4,1,27,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,HelloNameHandlerTest,setUp,4,1,0,21,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,HelloNameHandlerTest,tearDown,3,1,0,32,0,,
maxdemarzi_archetype_api,pe.archety.handlers.admin,HelloNameHandlerTest,shouldSayHello,7,1,0,37,1,,
