Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
maxdemarzi_archetype_api,pe.archety.handlers.admin,HelloNameHandlerTest,shouldSayHello,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.admin,HelloWorldHandlerTest,shouldSayHelloWorld,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.admin,HiNameHandlerTest,shouldSayHi,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.admin,InitializeHandlerTest,shouldInitialize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
maxdemarzi_archetype_api,pe.archety.handlers.admin,WarmUpHandlerTest,shouldWarmUp,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.admin,WikipediaHandlerTest,shouldPrepareWikipedia,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateIdentityHandlerTest,shouldCreateIdentityUsingEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateIdentityHandlerTest,shouldCreateIdentityUsingPhone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateIdentityHandlerTest,shouldCreateIdentityUsingPhoneAndRegion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateIdentityHandlerTest,shouldNotCreateIdentityWithGarbageJSON,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateIdentityHandlerTest,shouldNotCreateIdentityWithBadParameters,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateIdentityHandlerTest,shouldNotCreateIdentityWithBadPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateIdentityHandlerTest,shouldNotCreateIdentityWithInvalidPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldCreateKnowsUsingEmails,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldCreateKnowsUsingEmailAndPhone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldCreateKnowsUsingPhones,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldCreateKnowsUsingPhoneAndEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldNotCreateKnowsWithInvalidEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldNotCreateKnowsWithInvalidEmail2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldNotCreateKnowsWithInvalidPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldNotCreateKnowsWithInvalid2ndEmail,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldNotCreateKnowsWithInvalid2ndEmail2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldNotCreateKnowsWithInvalid2ndPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldNotCreateKnowsWithGarbageJSON,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
maxdemarzi_archetype_api,pe.archety.handlers.api,CreateKnowsHandlerTest,shouldNotCreateKnowsWithGarbage2ndPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
