Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
miguelslemos_Ecommerce,Controller,ControladorCliente,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
miguelslemos_Ecommerce,Entidades,TblCliente,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 35 public methods
miguelslemos_Ecommerce,Entidades,TblEnvios,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
miguelslemos_Ecommerce,Entidades,TblItensPedido,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
miguelslemos_Ecommerce,Entidades,TblPagamentos,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
miguelslemos_Ecommerce,Enum,EnumStatusFatura,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
miguelslemos_Ecommerce,Enum,EnumStatusFatura,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
miguelslemos_Ecommerce,Exception,CamposVaziosException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
miguelslemos_Ecommerce,Exception,ProdutoNaoEcontradoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
miguelslemos_Ecommerce,Repositorio,RepositorioTblMetodosPagamentoCliente,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
miguelslemos_Ecommerce,Repositorio,RepositorioTblProduto,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
miguelslemos_Ecommerce,Util,HibernateUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
