Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
miguelslemos_Ecommerce,Controller,ControladorCliente,ControladorCliente,3,1,0,20,0,,
miguelslemos_Ecommerce,Controller,ControladorCliente,saveCliente,4,2,1,25,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,TblCliente,2,1,0,31,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,TblCliente,13,1,11,35,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,TblCliente,17,1,15,48,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteCodigo,3,1,0,66,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteCodigo,3,1,1,70,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteGenero,3,1,0,73,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteGenero,3,1,1,77,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClientePrimeironome,3,1,0,80,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClientePrimeironome,3,1,1,84,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteUltimonome,3,1,0,87,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteUltimonome,3,1,1,91,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteEmail,3,1,0,94,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteEmail,3,1,1,98,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteLogin,3,1,0,101,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteLogin,3,1,1,105,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteSenha,3,1,0,108,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteSenha,3,1,1,112,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteTelefone,3,1,0,115,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteTelefone,3,1,1,119,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteEndereco1,3,1,0,122,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteEndereco1,3,1,1,126,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteEndereco2,3,1,0,129,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteEndereco2,3,1,1,133,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteCidade,3,1,0,136,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteCidade,3,1,1,140,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteEstado,3,1,0,143,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteEstado,3,1,1,147,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClientePais,3,1,0,150,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClientePais,3,1,1,154,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getClienteAdm,3,1,0,157,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setClienteAdm,3,1,1,161,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getTblPedidos,3,1,0,164,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setTblPedidos,3,1,1,168,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,getTblMetodosPagamentoClientes,3,1,0,171,0,,
miguelslemos_Ecommerce,Entidades,TblCliente,setTblMetodosPagamentoClientes,3,1,1,175,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,TblEnvios,2,1,0,21,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,TblEnvios,6,1,4,25,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,TblEnvios,7,1,5,31,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,getEnvioCodigo,3,1,0,39,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,setEnvioCodigo,3,1,1,43,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,getTblFatura,3,1,0,46,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,setTblFatura,3,1,1,50,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,getTblPedidos,3,1,0,53,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,setTblPedidos,3,1,1,57,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,getEnvioRastreio,3,1,0,60,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,setEnvioRastreio,3,1,1,64,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,getEnvioData,3,1,0,67,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,setEnvioData,3,1,1,71,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,getTblItensPedidos,3,1,0,74,0,,
miguelslemos_Ecommerce,Entidades,TblEnvios,setTblItensPedidos,3,1,1,78,0,,
