Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; RAW_REGISTRY_SPLITTER; IP_PORT_SPLITTER; ZERO; LENGTH_ONLY_IP; LENGTH_IP_PORTS; LOCAL_IP_POSITION; MULTIPLE_IP_SPLITTER; ip; fileTransferPort; messagingServicePort
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeRegistration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TRUNCATE_OPERATION_PARAM; SEND_REQUEST_DATA; TRUE; REGISTER_ME_CMD; REGISTRY_URL; REGISTRY_DATA_FILE; LINE_SPLITTER; DATA_FILE_IP_PORT_SPLITTER; ZERO; UBUNTU_NETWORK_NAME; MAC_NETWORK_NAME
mit09_my-mapreduce,neu.mapreduce.autodiscovery,PortUtility,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MIN_PORT_NUMBER; MAX_PORT_NUMBER; ONE; nextPortNumber
mit09_my-mapreduce,neu.mapreduce.core.combiner,CombinerRun,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mit09_my-mapreduce,neu.mapreduce.core.mapper,MapRun,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mit09_my-mapreduce,neu.mapreduce.core.reducer,ReduceRun,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; INPUT_FILE_KEYVALUE_SEPARATOR; OUTPUT_SHUFFLE_FILE_VALUE_SEPARATOR; OUTPUT_SHUFFLE_FILE_LINE_SEPARATOR; KEY_FILENAME_MAPPING; KEY_INDEX; VALUE_INDEX; ZERO; TWO
mit09_my-mapreduce,neu.mapreduce.core.sort,ExternalSort,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; OUTPUT_FILE_NAME; fileId
mit09_my-mapreduce,neu.mapreduce.io.fileSplitter,ObjectSizeFetcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mit09_my-mapreduce,neu.mapreduce.io.fileSplitter,SplitFile,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PATH_MASTER_FOLDER; BYTE_CONVERSION; LOGGER; splitSizeInMB
mit09_my-mapreduce,neu.mapreduce.io.sockets,ClientRunner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mit09_my-mapreduce,neu.mapreduce.io.sockets,ConnectionTypes,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mit09_my-mapreduce,neu.mapreduce.io.sockets,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HOME; USER; MR_RUN_FOLDER; CLIENT_FOLDER; SPLIT_SIZE_IN_MB; REDUCE_FOLDER; MAP_FOLDER; MASTER_FOLER
mit09_my-mapreduce,neu.mapreduce.io.sockets,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: HOME; USER; MR_RUN_FOLDER; CLIENT_FOLDER; SPLIT_SIZE_IN_MB; REDUCE_FOLDER; MAP_FOLDER; MASTER_FOLER
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterScheduler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MASTER_FT_PORT_MAPPER; MASTER_FT_PORT_REDUCER; LOGGER; keyMappingFileCounter; KEY_MAPPING_FILE; slaveToSlavePorts; masterIP; fileSplits; inputJar; slaves; job; jobConf; jobConfClassName; freeSlaveID; curSplit; keyFileMapping
