Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,registerIPPorts,Magic Number,The method contains a magic number: 2,63
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeRegistration,main,Empty catch clause,The method has an empty catch block.,175
mit09_my-mapreduce,neu.mapreduce.core.combiner,CombinerRun,combinerRun,Long Parameter List,The method has 6 parameters. ,21
mit09_my-mapreduce,neu.mapreduce.core.mapper,MapRun,mapRun,Long Parameter List,The method has 5 parameters. ,27
mit09_my-mapreduce,neu.mapreduce.core.mapper,MapRun,mapRun,Long Statement,The length of the statement "WriteComparableFactory keyFactory=WriteComparableFactory.generateWriteComparableFactory(jobConf.getMapKeyInputClassName());" is 123.,27
mit09_my-mapreduce,neu.mapreduce.core.mapper,MapRun,mapRun,Long Statement,The length of the statement "WriteComparableFactory valueFactory=WriteComparableFactory.generateWriteComparableFactory(jobConf.getMapValueInputClassName());" is 127.,27
mit09_my-mapreduce,neu.mapreduce.core.mapper,MapRun,mapRun,Long Statement,The length of the statement "(mapFactory.getSingletonObject()).map(keyFactory.getNewInstance().deserialize(Integer.toString(lineCounter++))`valueFactory.getNewInstance().deserialize(line)`myContext);" is 170.,27
mit09_my-mapreduce,neu.mapreduce.core.mapper,MapRun,mapRun,Long Statement,The length of the statement "catch ( IllegalAccessException|InstantiationException|ClassNotFoundException|NoSuchMethodException|InvocationTargetException e) {" is 129.,27
mit09_my-mapreduce,neu.mapreduce.core.reducer,ReduceRun,reduceRun,Long Identifier,The length of the parameter listOfMergedShuffleFileLocation is 31.,23
mit09_my-mapreduce,neu.mapreduce.core.reducer,ReduceRun,reduceRun,Long Parameter List,The method has 6 parameters. ,23
mit09_my-mapreduce,neu.mapreduce.core.reducer,ReduceRun,reduceRun,Long Statement,The length of the statement "performReduceForShuffleFile(clientReducerClass`clientJarPath`keyFactory`valueFactory`reducerOutputBW`mergedShuffleFileLocation);" is 128.,23
mit09_my-mapreduce,neu.mapreduce.core.reducer,ReduceRun,reduceRun,Long Statement,The length of the statement "catch ( NoSuchMethodException|InvocationTargetException|IllegalAccessException|InstantiationException|ClassNotFoundException e) {" is 129.,23
mit09_my-mapreduce,neu.mapreduce.core.reducer,ReduceRun,performReduceForShuffleFile,Long Parameter List,The method has 6 parameters. ,57
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,shuffle,Long Statement,The length of the statement "WriteComparableFactory mapperOutputKeyFactory=WriteComparableFactory.generateWriteComparableFactory(jobConf.getMapKeyOutputClassName());" is 136.,33
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,shuffle,Long Statement,The length of the statement "WriteComparableFactory mapperOutputValueFactory=WriteComparableFactory.generateWriteComparableFactory(jobConf.getMapValueOutputClassName());" is 140.,33
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,shuffle,Long Statement,The length of the statement "catch ( ClassNotFoundException|NoSuchMethodException|InstantiationException|IllegalAccessException|InvocationTargetException e) {" is 129.,33
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,readMapperOutput,Long Statement,The length of the statement "keyListOfValue.get(keyvalue[KEY_INDEX]).add(mapperOutputValueFactory.getNewInstance().deserialize(keyvalue[VALUE_INDEX]));" is 122.,65
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,performShuffle,Long Parameter List,The method has 6 parameters. ,94
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,performShuffle,Long Statement,The length of the statement "new CombinerRun().combinerRun(key`keyListOfValue.get(key).iterator()`mapperOutputKeyFactory`clientJarPath`jobConf.getCombinerClassName()`shuffleFileBW);" is 152.,94
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,writeToKeyFileMapping,Long Identifier,The length of the field OUTPUT_SHUFFLE_FILE_VALUE_SEPARATOR is 35.,129
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,writeToKeyFileMapping,Long Identifier,The length of the field OUTPUT_SHUFFLE_FILE_LINE_SEPARATOR is 34.,129
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,writeToKeyFileMapping,Long Statement,The length of the statement "filemappingBW.write(key + OUTPUT_SHUFFLE_FILE_VALUE_SEPARATOR + locationShuffleFile+ OUTPUT_SHUFFLE_FILE_LINE_SEPARATOR);" is 121.,129
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,writeToFile,Long Identifier,The length of the field OUTPUT_SHUFFLE_FILE_LINE_SEPARATOR is 34.,140
mit09_my-mapreduce,neu.mapreduce.core.sort,ExternalSort,mergeAllFiles,Magic Number,The method contains a magic number: 2,36
mit09_my-mapreduce,neu.mapreduce.core.sort,ExternalSort,mergeFiles,Complex Method,Cyclomatic complexity of the method is 8,74
mit09_my-mapreduce,neu.mapreduce.core.sort,ExternalSort,mergeFiles,Long Parameter List,The method has 5 parameters. ,74
mit09_my-mapreduce,neu.mapreduce.core.sort,ExternalSort,mergeFiles,Long Statement,The length of the statement "int compare=valueFactory.getNewInstance().deserialize(line1).compareTo(valueFactory.getNewInstance().deserialize(line2));" is 121.,74
mit09_my-mapreduce,neu.mapreduce.io.sockets,IOCommons,shutDownServerSocket,Empty catch clause,The method has an empty catch block.,81
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterRunner,runJob,Long Statement,The length of the statement "MasterScheduler masterScheduler=new MasterScheduler(this.fileSplits`this.inputJar`this.slaves`this.jobConfClassName`this.slaveToSlavePorts);" is 140.,65
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterScheduler,MasterScheduler,Long Parameter List,The method has 5 parameters. ,48
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterScheduler,scheduleMap,Long Statement,The length of the statement "LOGGER.log(Level.INFO`listSmallerHashMaps.size() + " equals " + this.jobConf.getNumReducers()+ ":: # of hashmaps vs # of reducers");" is 132.,77
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterScheduler,receiveKeyMappingFiles,Long Statement,The length of the statement "ArrayList<HashMap<String`ArrayList<String>>> listSmallerHashmaps=splitKeyMapping(this.keyFileMapping`this.jobConf.getNumReducers());" is 132.,194
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterScheduler,initiateReducerSlaveJob,Long Statement,The length of the statement "LOGGER.log(Level.INFO`"Allocating slave " + this.freeSlaveID + " as reducer. # of keys to this reducer: "+ keyShuffleFileInfoMapping.size());" is 141.,308
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterScheduler,sendShuffleFile,Long Statement,The length of the statement "shuffleOut.println(Message.SEND_SHUFFLE_FILE + ":" + this.freeSlaveID+ ":"+ fileLoc.split(":")[2]+ ":"+ slaveToSlavePorts.get(this.freeSlaveID));" is 145.,335
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterScheduler,sendShuffleFile,Magic Number,The method contains a magic number: 2,335
mit09_my-mapreduce,neu.mapreduce.io.sockets,SlaveListener,handleRequest,Complex Method,Cyclomatic complexity of the method is 10,104
mit09_my-mapreduce,neu.mapreduce.io.sockets,SlaveListener,runMap,Long Statement,The length of the statement "new Thread(new SlaveMapRunThread(INPUT_CHUNK`MAP_OUTPUT_FILE_PATH`SHUFFLE_OUTPUT_FOLDER + numMapTasks++`MAPPER_CLIENT_JAR_PATH`getJobConf(MAPPER_CLIENT_JAR_PATH`jobConfClassName))).start();" is 189.,188
